rule_id,rule_name,crop,state,soil_type,farmer_category,land_min,land_max,income_limit,aadhaar_required,recommended_scheme,recommended_loan,recommended_insurance,priority
RULE0018,Insurance Recommendation for Turmeric under Loamy Soil Conditions,Turmeric,Maharashtra,Loamy Soil,Large Farmer,5.19,10.81,500000,Yes,Rythu Bima Life Insurance Scheme,Micro Irrigation / Drip & Sprinkler Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.3
RULE0019,Loan Eligibility Check for Tenant Farmer Cultivating Mango,Mango,All India,Red Soil,Tenant Farmer,0.95,3.0,250000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Kisan Credit Card (KCC),Private Comprehensive Crop Insurance Plan,6.9
RULE0020,Risk Cover Advisory for Large Farmer on Loamy Soil,Red Gram (Tur Dal),Maharashtra,Loamy Soil,Large Farmer,5.13,10.44,250000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Farmer Producer Organisation (FPO) Term Loan,Private Comprehensive Crop Insurance Plan,7.9
RULE0021,Loan Eligibility Check for Medium Farmer Cultivating Sugarcane,Sugarcane,All India,Black Soil (Regur),Medium Farmer,2.01,5.66,300000,Yes,Telangana Farm Mechanization Scheme,Kisan Credit Card (KCC),Livestock Insurance Scheme,10.0
RULE0022,Priority Scheme Match for Groundnut Growers on Loamy Soil in All India,Groundnut,All India,Loamy Soil,Large Farmer,5.23,10.9,250000,Yes,Micro Irrigation Fund (MIF),Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,9.5
RULE0023,Loan Eligibility Check for Large Farmer Cultivating Paddy,Paddy,All India,Clay Soil,Large Farmer,5.44,10.29,200000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Gold Loan for Agricultural Purposes,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.5
RULE0024,Insurance Recommendation for Chilli under Black Soil (Regur) Conditions,Chilli,Andhra Pradesh,Black Soil (Regur),Tenant Farmer,0.88,3.43,500000,Yes,Rythu Bandhu Investment Support Scheme,Farmer Producer Organisation (FPO) Term Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.4
RULE0025,Subsidy & Credit Pathway for Tenant Farmer in Telangana,Maize,Telangana,Saline / Alkaline Soil,Tenant Farmer,0.76,3.42,300000,No,National Livestock Mission,Farmer Producer Organisation (FPO) Term Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.3
RULE0026,Risk Cover Advisory for Medium Farmer on Loamy Soil,Banana,Maharashtra,Loamy Soil,Medium Farmer,2.07,5.93,100000,No,Mission for Integrated Development of Horticulture (MIDH),Dairy & Livestock Development Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.0
RULE0027,Priority Scheme Match for Paddy Growers on Clay Soil in Telangana,Paddy,Telangana,Clay Soil,Women Farmer,0.52,3.94,300000,No,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Horticulture Crop Insurance Scheme,9.6
RULE0028,Subsidy & Credit Pathway for Women Farmer in Telangana (Rule Variant 2),Millets (Jowar/Bajra),Telangana,Sandy Soil,Women Farmer,0.76,3.75,500000,Yes,Mission for Integrated Development of Horticulture (MIDH),Horticulture & Plantation Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.6
RULE0029,Loan Eligibility Check for FPO Member Farmer Cultivating Banana,Banana,Maharashtra,Laterite Soil,FPO Member Farmer,0.49,10.5,,Yes,Rythu Bandhu Investment Support Scheme,Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.6
RULE0030,Small Holding Advisory Rule for Sharecropper Growing Grapes,Grapes,All India,Black Soil (Regur),Sharecropper,0.64,2.21,,Yes,Soil Health Card Scheme,Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,8.7
RULE0031,Insurance Recommendation for Turmeric under Alluvial Soil Conditions,Turmeric,Maharashtra,Alluvial Soil,FPO Member Farmer,0.44,10.14,500000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.5
RULE0032,Government Scheme Trigger for Soybean Cultivation in Maharashtra,Soybean,Maharashtra,Clay Soil,Large Farmer,5.03,10.15,200000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.8
RULE0033,Small Holding Advisory Rule for FPO Member Farmer Growing Turmeric,Turmeric,Andhra Pradesh,Laterite Soil,FPO Member Farmer,0.34,10.09,,Yes,Telangana Millet Mission,Horticulture & Plantation Loan,Horticulture Crop Insurance Scheme,8.9
RULE0034,Subsidy & Credit Pathway for Small Farmer in Telangana,Cotton,Telangana,Red Soil,Small Farmer,1.14,2.13,500000,Yes,Telangana Horticulture Mission,Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,6.3
RULE0035,Insurance Recommendation for Banana under Loamy Soil Conditions,Banana,Karnataka,Loamy Soil,Women Farmer,0.92,3.88,250000,Yes,National Mission on Natural Farming (NMNF),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.0
RULE0036,Government Scheme Trigger for Horticulture Crops Cultivation in Telangana,Horticulture Crops,Telangana,Sandy Soil,Small Farmer,1.36,2.61,200000,No,Telangana Horticulture Mission,Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,6.0
RULE0037,Government Scheme Trigger for Maize Cultivation in Andhra Pradesh,Maize,Andhra Pradesh,Laterite Soil,Women Farmer,0.89,3.28,250000,No,National Food Security Mission (NFSM),Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.3
RULE0038,Insurance Recommendation for Paddy under Laterite Soil Conditions,Paddy,Andhra Pradesh,Laterite Soil,Women Farmer,0.55,4.0,250000,Yes,Soil Health Card Scheme,Crop Loan (Seasonal Agricultural Operations),Horticulture Crop Insurance Scheme,5.3
RULE0039,Government Scheme Trigger for Sugarcane Cultivation in All India,Sugarcane,All India,Alluvial Soil,Tenant Farmer,0.55,2.76,500000,Yes,Soil Health Card Scheme,Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,5.6
RULE0040,Subsidy & Credit Pathway for Sharecropper in All India (Rule Variant 2),Wheat,All India,Sandy Soil,Sharecropper,0.5,2.84,250000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Horticulture & Plantation Loan,Horticulture Crop Insurance Scheme,9.7
RULE0041,Government Scheme Trigger for Chilli Cultivation in Andhra Pradesh,Chilli,Andhra Pradesh,Clay Soil,Marginal Farmer,0.1,1.92,500000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,6.3
RULE0042,Priority Scheme Match for Chilli Growers on Sandy Soil in Maharashtra,Chilli,Maharashtra,Sandy Soil,Small Farmer,1.06,2.57,150000,Yes,Telangana Organic Farming Promotion Scheme,Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,8.6
RULE0043,Insurance Recommendation for Millets (Jowar/Bajra) under Loamy Soil Conditions,Millets (Jowar/Bajra),All India,Loamy Soil,Marginal Farmer,0.15,1.88,100000,Yes,Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC),Livestock Insurance Scheme,5.3
RULE0044,Loan Eligibility Check for Large Farmer Cultivating Groundnut,Groundnut,Andhra Pradesh,Black Soil (Regur),Large Farmer,5.22,10.97,200000,Yes,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,9.7
RULE0045,Priority Scheme Match for Maize Growers on Red Soil in Andhra Pradesh,Maize,Andhra Pradesh,Red Soil,Sharecropper,0.97,2.93,300000,Yes,Telangana Millet Mission,Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.3
RULE0046,Risk Cover Advisory for FPO Member Farmer on Black Soil (Regur),Horticulture Crops,Telangana,Black Soil (Regur),FPO Member Farmer,0.31,10.33,100000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.4
RULE0047,Small Holding Advisory Rule for Tenant Farmer Growing Turmeric,Turmeric,Andhra Pradesh,Alluvial Soil,Tenant Farmer,0.76,3.21,150000,Yes,National Food Security Mission (NFSM),Solar Pump / Renewable Energy Agri Loan,Private Comprehensive Crop Insurance Plan,9.2
RULE0048,Loan Eligibility Check for Medium Farmer Cultivating Oilseeds,Oilseeds,Telangana,Black Soil (Regur),Medium Farmer,2.23,5.66,300000,Yes,Telangana Farm Mechanization Scheme,Farmer Producer Organisation (FPO) Term Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.9
RULE0049,Subsidy & Credit Pathway for Women Farmer in All India,Grapes,All India,Sandy Soil,Women Farmer,0.58,3.37,250000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Horticulture & Plantation Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.5
RULE0050,Insurance Recommendation for All Crops under Laterite Soil Conditions,All Crops,Telangana,Laterite Soil,FPO Member Farmer,0.25,10.71,500000,No,Rythu Bima Life Insurance Scheme,Dairy & Livestock Development Loan,Private Comprehensive Crop Insurance Plan,7.5
RULE0051,Small Holding Advisory Rule for Tenant Farmer Growing Wheat,Wheat,Karnataka,Clay Soil,Tenant Farmer,0.84,2.68,,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Agri Infrastructure & Cold Storage Loan,Private Comprehensive Crop Insurance Plan,8.6
RULE0052,Insurance Recommendation for Groundnut under Black Soil (Regur) Conditions,Groundnut,All India,Black Soil (Regur),Medium Farmer,2.4,5.17,300000,Yes,National Food Security Mission (NFSM),Solar Pump / Renewable Energy Agri Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.5
RULE0053,Insurance Recommendation for Chilli under Black Soil (Regur) Conditions (Rule Variant 2),Chilli,Maharashtra,Black Soil (Regur),Sharecropper,0.64,2.99,250000,Yes,Mission for Integrated Development of Horticulture (MIDH),Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,8.7
RULE0054,Government Scheme Trigger for Vegetables Cultivation in Maharashtra,Vegetables,Maharashtra,Loamy Soil,Marginal Farmer,0.43,1.7,150000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.6
RULE0055,Risk Cover Advisory for Large Farmer on Loamy Soil (Rule Variant 2),Chickpea (Gram),All India,Loamy Soil,Large Farmer,5.36,10.82,300000,Yes,Mission for Integrated Development of Horticulture (MIDH),Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.6
RULE0056,Priority Scheme Match for Grapes Growers on Saline / Alkaline Soil in Andhra Pradesh,Grapes,Andhra Pradesh,Saline / Alkaline Soil,FPO Member Farmer,0.17,10.65,100000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,8.4
RULE0057,Insurance Recommendation for Chickpea (Gram) under Black Soil (Regur) Conditions,Chickpea (Gram),Andhra Pradesh,Black Soil (Regur),Small Farmer,1.49,2.01,200000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,5.3
RULE0058,Small Holding Advisory Rule for Large Farmer Growing Turmeric,Turmeric,Andhra Pradesh,Loamy Soil,Large Farmer,5.35,10.74,,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,5.5
RULE0059,Insurance Recommendation for Sugarcane under Red Soil Conditions,Sugarcane,Telangana,Red Soil,Women Farmer,0.6,3.87,200000,Yes,Telangana Organic Farming Promotion Scheme,Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,9.7
RULE0060,Irrigation-Linked Scheme Match for Cotton on Black Soil (Regur),Cotton,Maharashtra,Black Soil (Regur),Small Farmer,1.47,2.39,500000,Yes,National Mission on Natural Farming (NMNF),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,5.3
RULE0061,Risk Cover Advisory for Marginal Farmer on Red Soil,All Crops,Andhra Pradesh,Red Soil,Marginal Farmer,0.2,1.32,500000,Yes,Micro Irrigation Fund (MIF),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,5.8
RULE0062,Priority Scheme Match for All Crops Growers on Loamy Soil in Maharashtra,All Crops,Maharashtra,Loamy Soil,Large Farmer,5.31,10.84,100000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Farmer Producer Organisation (FPO) Term Loan,Private Comprehensive Crop Insurance Plan,6.1
RULE0063,Risk Cover Advisory for Sharecropper on Laterite Soil,Millets (Jowar/Bajra),Andhra Pradesh,Laterite Soil,Sharecropper,0.89,2.48,200000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Horticulture & Plantation Loan,Horticulture Crop Insurance Scheme,5.4
RULE0064,Government Scheme Trigger for Mango Cultivation in Maharashtra,Mango,Maharashtra,Red Soil,Women Farmer,0.78,3.61,100000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Farm Mechanization / Tractor Loan,Livestock Insurance Scheme,8.9
RULE0065,Irrigation-Linked Scheme Match for Grapes on Sandy Soil,Grapes,Karnataka,Sandy Soil,Large Farmer,5.09,10.52,300000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,7.7
RULE0066,Small Holding Advisory Rule for Medium Farmer Growing Chickpea (Gram),Chickpea (Gram),Maharashtra,Alluvial Soil,Medium Farmer,2.35,5.13,500000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Farm Mechanization / Tractor Loan,Livestock Insurance Scheme,6.3
RULE0067,Subsidy & Credit Pathway for Tenant Farmer in Karnataka,Soybean,Karnataka,Laterite Soil,Tenant Farmer,0.79,2.55,500000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,5.1
RULE0068,Priority Scheme Match for Chilli Growers on Alluvial Soil in All India,Chilli,All India,Alluvial Soil,Women Farmer,0.55,3.04,100000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Horticulture & Plantation Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.5
RULE0069,Loan Eligibility Check for Large Farmer Cultivating Oilseeds,Oilseeds,Karnataka,Black Soil (Regur),Large Farmer,5.21,10.16,300000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,6.8
RULE0070,Government Scheme Trigger for Mango Cultivation in Telangana,Mango,Telangana,Saline / Alkaline Soil,Tenant Farmer,0.72,3.1,250000,Yes,Mission for Integrated Development of Horticulture (MIDH),Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,7.5
RULE0071,Subsidy & Credit Pathway for Medium Farmer in Andhra Pradesh,Pulses,Andhra Pradesh,Alluvial Soil,Medium Farmer,2.25,5.74,,Yes,National Food Security Mission (NFSM),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.5
RULE0072,Loan Eligibility Check for FPO Member Farmer Cultivating Mango,Mango,Andhra Pradesh,Laterite Soil,FPO Member Farmer,0.4,10.25,150000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Gold Loan for Agricultural Purposes,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.9
RULE0073,Risk Cover Advisory for Tenant Farmer on Clay Soil,Paddy,Telangana,Clay Soil,Tenant Farmer,0.54,2.96,250000,Yes,Telangana Farm Mechanization Scheme,Micro Irrigation / Drip & Sprinkler Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.8
RULE0074,Insurance Recommendation for Paddy under Sandy Soil Conditions,Paddy,Andhra Pradesh,Sandy Soil,Women Farmer,0.72,3.75,200000,No,Soil Health Card Scheme,Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,7.4
RULE0075,Small Holding Advisory Rule for Large Farmer Growing Chickpea (Gram),Chickpea (Gram),All India,Red Soil,Large Farmer,5.48,10.7,150000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.2
RULE0076,Government Scheme Trigger for Chickpea (Gram) Cultivation in All India,Chickpea (Gram),All India,Saline / Alkaline Soil,Sharecropper,0.58,2.24,300000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,8.8
RULE0077,Government Scheme Trigger for Oilseeds Cultivation in Andhra Pradesh (Rule Variant 2),Oilseeds,Andhra Pradesh,Clay Soil,Women Farmer,0.58,3.99,150000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,8.4
RULE0078,Subsidy & Credit Pathway for Large Farmer in Andhra Pradesh,Paddy,Andhra Pradesh,Saline / Alkaline Soil,Large Farmer,5.08,10.6,200000,Yes,Telangana Horticulture Mission,Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.3
RULE0079,Priority Scheme Match for Wheat Growers on Black Soil (Regur) in Maharashtra,Wheat,Maharashtra,Black Soil (Regur),Large Farmer,5.13,10.8,100000,Yes,Telangana Millet Mission,Fisheries & Aquaculture Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.2
RULE0080,Risk Cover Advisory for FPO Member Farmer on Sandy Soil,Groundnut,Andhra Pradesh,Sandy Soil,FPO Member Farmer,0.03,10.56,150000,No,Mission Kakatiya (Tank Restoration for Irrigation),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,9.0
RULE0081,Loan Eligibility Check for Tenant Farmer Cultivating Maize,Maize,Andhra Pradesh,Saline / Alkaline Soil,Tenant Farmer,0.95,2.67,200000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,8.1
RULE0082,Government Scheme Trigger for Cotton Cultivation in Andhra Pradesh,Cotton,Andhra Pradesh,Alluvial Soil,Sharecropper,0.61,2.52,,No,Telangana Horticulture Mission,Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,9.9
RULE0083,Loan Eligibility Check for Marginal Farmer Cultivating Groundnut,Groundnut,Andhra Pradesh,Laterite Soil,Marginal Farmer,0.04,1.54,200000,Yes,Rythu Bandhu Investment Support Scheme,Micro Irrigation / Drip & Sprinkler Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.6
RULE0084,Priority Scheme Match for Mango Growers on Laterite Soil in Andhra Pradesh,Mango,Andhra Pradesh,Laterite Soil,Large Farmer,5.33,10.52,100000,Yes,Micro Irrigation Fund (MIF),Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,6.4
RULE0085,Subsidy & Credit Pathway for Medium Farmer in Maharashtra,Oilseeds,Maharashtra,Loamy Soil,Medium Farmer,2.08,5.95,300000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Crop Loan (Seasonal Agricultural Operations),Private Comprehensive Crop Insurance Plan,7.2
RULE0086,Government Scheme Trigger for Cotton Cultivation in Telangana,Cotton,Telangana,Loamy Soil,Marginal Farmer,0.48,1.77,150000,Yes,National Food Security Mission (NFSM),Fisheries & Aquaculture Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.1
RULE0087,Irrigation-Linked Scheme Match for Millets (Jowar/Bajra) on Laterite Soil,Millets (Jowar/Bajra),Maharashtra,Laterite Soil,Sharecropper,0.6,2.33,200000,Yes,Telangana Millet Mission,Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,6.8
RULE0088,Risk Cover Advisory for Sharecropper on Alluvial Soil,Pulses,All India,Alluvial Soil,Sharecropper,0.76,2.65,100000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,7.0
RULE0089,Priority Scheme Match for Vegetables Growers on Laterite Soil in Andhra Pradesh,Vegetables,Andhra Pradesh,Laterite Soil,Women Farmer,0.6,3.23,500000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan,Livestock Insurance Scheme,5.7
RULE0090,Subsidy & Credit Pathway for FPO Member Farmer in Karnataka,Pulses,Karnataka,Clay Soil,FPO Member Farmer,0.46,10.06,300000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Gold Loan for Agricultural Purposes,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.8
RULE0091,Small Holding Advisory Rule for Sharecropper Growing Chilli,Chilli,Andhra Pradesh,Black Soil (Regur),Sharecropper,0.67,2.67,200000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,8.2
RULE0092,Small Holding Advisory Rule for Medium Farmer Growing Mango,Mango,Andhra Pradesh,Clay Soil,Medium Farmer,2.11,5.54,250000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Farm Mechanization / Tractor Loan,Livestock Insurance Scheme,8.2
RULE0093,Priority Scheme Match for Grapes Growers on Black Soil (Regur) in Telangana,Grapes,Telangana,Black Soil (Regur),Sharecropper,0.81,2.69,200000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.7
RULE0094,Subsidy & Credit Pathway for Large Farmer in All India,Turmeric,All India,Laterite Soil,Large Farmer,5.22,10.04,250000,Yes,National Mission on Natural Farming (NMNF),Solar Pump / Renewable Energy Agri Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.5
RULE0095,Government Scheme Trigger for Vegetables Cultivation in Maharashtra (Rule Variant 2),Vegetables,Maharashtra,Laterite Soil,Small Farmer,1.05,2.06,300000,Yes,Telangana Millet Mission,Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.6
