scheme_id,scheme_name,scheme_type,government_level,state,ministry,department,objective,description,beneficiary_type,eligible_crop,eligible_farmer,minimum_land,maximum_land,income_limit,minimum_age,maximum_age,aadhaar_required,bank_account_required,soil_card_required,insurance_required,documents_required,maximum_subsidy,subsidy_percentage,loan_support,interest_subvention,processing_time_days,application_mode,official_portal,priority_score,active_status
SCHM011,Paramparagat Krishi Vikas Yojana (PKVY),Crop Insurance,Central,All India,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,"To provide financial and technical support to eligible farmers under the 'Paramparagat Krishi Vikas Yojana (PKVY)' initiative, strengthening crop insurance across India.","Paramparagat Krishi Vikas Yojana (PKVY) is a central-level scheme implemented to promote crop insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,Cotton,Tenant & Landowning Farmers,0,7.5,,18,60,Yes,Yes,No,Yes,Ration Card; Soil Health Card; Crop Sowing Certificate; Income Certificate; Encumbrance Certificate; FPO Registration Certificate,50000,40,Yes,None,15,Online,https://agriwelfare.gov.in,5.0,Inactive
SCHM012,Mission for Integrated Development of Horticulture (MIDH),Life & Disability Insurance,Central,All India,Ministry of Rural Development,Department of Rural Development,"To provide financial and technical support to eligible farmers under the 'Mission for Integrated Development of Horticulture (MIDH)' initiative, strengthening life & disability insurance across India.","Mission for Integrated Development of Horticulture (MIDH) is a central-level scheme implemented to promote life & disability insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Dairy Farmer,Chilli,FPO Member Farmers,0,5,,18,70,Yes,Yes,Yes,Yes,FPO Registration Certificate; Voter ID; Mobile Number linked to Aadhaar; Ration Card; Passport Size Photograph; Encumbrance Certificate; Aadhaar Card,200000,100,Yes,None,7,Online,https://agriwelfare.gov.in,6.3,Active
SCHM013,Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),Irrigation Support,Central,All India,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,"To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Kisan Maandhan Yojana (PM-KMY)' initiative, strengthening irrigation support across India.","Pradhan Mantri Kisan Maandhan Yojana (PM-KMY) is a central-level scheme implemented to promote irrigation support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Farmer Producer Organisation (FPO),Chilli,All Categories of Farmers,0,,300000,18,,Yes,Yes,Yes,Yes,FPO Registration Certificate; Ration Card; Aadhaar Card; Mobile Number linked to Aadhaar; Income Certificate; Bank Passbook; Encumbrance Certificate,10000,90,No,None,30,Online,https://agriwelfare.gov.in,5.6,Active
SCHM014,Interest Subvention Scheme for Short Term Crop Loans,Price Support,Central,All India,Ministry of Agriculture & Farmers Welfare,Department of Agricultural Research and Education (DARE),"To provide financial and technical support to eligible farmers under the 'Interest Subvention Scheme for Short Term Crop Loans' initiative, strengthening price support across India.","Interest Subvention Scheme for Short Term Crop Loans is a central-level scheme implemented to promote price support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Red Gram (Tur Dal),Farmers with Valid Land Records,0,2,150000,18,60,Yes,Yes,Yes,Yes,Income Certificate; Encumbrance Certificate; Voter ID; Caste Certificate,150000,40,Yes,3% p.a.,60,Online,https://agriwelfare.gov.in,9.4,Active
SCHM015,Agriculture Infrastructure Fund (AIF),Crop Insurance,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Agriculture Infrastructure Fund (AIF)' initiative, strengthening crop insurance across India.","Agriculture Infrastructure Fund (AIF) is a central-level scheme implemented to promote crop insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Turmeric,FPO Member Farmers,0,,,21,60,No,Yes,Yes,Yes,FPO Registration Certificate; Tenant Farmer Certificate; Income Certificate; Ration Card; Soil Health Card,15000,25,Yes,None,15,Offline,https://agriwelfare.gov.in,9.3,Active
SCHM016,National Livestock Mission,Infrastructure Development,Central,All India,Ministry of Jal Shakti,"Department of Water Resources, River Development and Ganga Rejuvenation","To provide financial and technical support to eligible farmers under the 'National Livestock Mission' initiative, strengthening infrastructure development across India.","National Livestock Mission is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Small & Marginal Farmer,Maize,FPO Member Farmers,0,10,150000,18,60,No,Yes,Yes,Yes,Passport Size Photograph; Voter ID; Land Passbook / Pattadar Passbook; Caste Certificate; FPO Registration Certificate; Soil Health Card; Ration Card,5000,75,Yes,1.5% p.a.,60,Online and Offline (CSC),https://agriwelfare.gov.in,8.4,Active
SCHM017,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Infrastructure Development,Central,All India,Ministry of Jal Shakti,"Department of Water Resources, River Development and Ganga Rejuvenation","To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Matsya Sampada Yojana (PMMSY)' initiative, strengthening infrastructure development across India.","Pradhan Mantri Matsya Sampada Yojana (PMMSY) is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Millets (Jowar/Bajra),All Categories of Farmers,0,,150000,18,,Yes,Yes,No,Yes,Soil Health Card; Caste Certificate; Crop Sowing Certificate; Encumbrance Certificate; Bank Passbook,150000,50,No,None,30,Online,https://agriwelfare.gov.in,6.5,Active
SCHM018,Dairy Entrepreneurship Development Scheme (DEDS),Input Subsidy,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Dairy Entrepreneurship Development Scheme (DEDS)' initiative, strengthening input subsidy across India.","Dairy Entrepreneurship Development Scheme (DEDS) is a central-level scheme implemented to promote input subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Agricultural Labourer,Vegetables,Women-headed Farm Households,1,,100000,18,70,Yes,Yes,Yes,Yes,Soil Health Card; Encumbrance Certificate; FPO Registration Certificate; Bank Passbook; Aadhaar Card; Passport Size Photograph,15000,90,Yes,None,20,Online and Offline (CSC),https://agriwelfare.gov.in,7.9,Active
SCHM019,National Beekeeping & Honey Mission (NBHM),Market Support,Central,All India,Ministry of Jal Shakti,"Department of Water Resources, River Development and Ganga Rejuvenation","To provide financial and technical support to eligible farmers under the 'National Beekeeping & Honey Mission (NBHM)' initiative, strengthening market support across India.","National Beekeeping & Honey Mission (NBHM) is a central-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,All Crops,Tenant & Landowning Farmers,1,2.5,100000,21,60,Yes,Yes,Yes,No,Encumbrance Certificate; Tenant Farmer Certificate; Crop Sowing Certificate; Voter ID; Mobile Number linked to Aadhaar,150000,60,No,None,30,Online and Offline (CSC),https://agriwelfare.gov.in,9.5,Active
SCHM020,"Formation and Promotion of 10,000 FPOs Scheme",Livestock Support,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Formation and Promotion of 10,000 FPOs Scheme' initiative, strengthening livestock support across India.","Formation and Promotion of 10,000 FPOs Scheme is a central-level scheme implemented to promote livestock support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Fruits,Sharecroppers with Certificate,0.5,2.5,300000,18,,Yes,Yes,Yes,No,Mobile Number linked to Aadhaar; Ration Card; Soil Health Card; Encumbrance Certificate,25000,60,Yes,3% p.a.,10,Online,https://agriwelfare.gov.in,6.9,Active
SCHM021,Sub-Mission on Seed and Planting Material (SMSP),Irrigation Support,Central,All India,Ministry of Food Processing Industries,Department of Food Processing Industries,"To provide financial and technical support to eligible farmers under the 'Sub-Mission on Seed and Planting Material (SMSP)' initiative, strengthening irrigation support across India.","Sub-Mission on Seed and Planting Material (SMSP) is a central-level scheme implemented to promote irrigation support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,Pulses,All Categories of Farmers,1,7.5,,18,,No,Yes,Yes,No,Aadhaar Card; Income Certificate; Ration Card; Caste Certificate; Crop Sowing Certificate; Voter ID; Soil Health Card,75000,50,Yes,None,20,Online,https://agriwelfare.gov.in,6.9,Active
SCHM022,Micro Irrigation Fund (MIF),Irrigation Support,Central,All India,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,"To provide financial and technical support to eligible farmers under the 'Micro Irrigation Fund (MIF)' initiative, strengthening irrigation support across India.","Micro Irrigation Fund (MIF) is a central-level scheme implemented to promote irrigation support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,All Crops,Farmers with Valid Land Records,0,2,300000,21,65,No,Yes,Yes,Yes,Caste Certificate; Income Certificate; Soil Health Card; Tenant Farmer Certificate; Encumbrance Certificate; Passport Size Photograph,500000,75,Yes,None,15,Online,https://agriwelfare.gov.in,7.4,Inactive
SCHM023,National Mission on Natural Farming (NMNF),Direct Benefit Transfer,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'National Mission on Natural Farming (NMNF)' initiative, strengthening direct benefit transfer across India.","National Mission on Natural Farming (NMNF) is a central-level scheme implemented to promote direct benefit transfer, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Cotton,Landowning Farmers,0,2.5,100000,18,65,Yes,Yes,Yes,No,Passport Size Photograph; Soil Health Card; Tenant Farmer Certificate; Ration Card,500000,60,Yes,1.5% p.a.,30,Online and Offline (CSC),https://agriwelfare.gov.in,8.6,Active
SCHM024,Rural Godown Scheme (Warehouse Infrastructure),Interest Subvention,Central,All India,Ministry of Rural Development,Department of Rural Development,"To provide financial and technical support to eligible farmers under the 'Rural Godown Scheme (Warehouse Infrastructure)' initiative, strengthening interest subvention across India.","Rural Godown Scheme (Warehouse Infrastructure) is a central-level scheme implemented to promote interest subvention, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Farmer Producer Organisation (FPO),Oilseeds,Farmers with Valid Land Records,0,2,250000,18,60,Yes,Yes,Yes,Yes,Voter ID; Caste Certificate; Crop Sowing Certificate; Income Certificate; Land Passbook / Pattadar Passbook; FPO Registration Certificate,200000,60,Yes,2% p.a.,60,Offline,https://agriwelfare.gov.in,9.1,Active
SCHM025,Credit Guarantee Fund for Farmer Producer Companies,Input Subsidy,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Credit Guarantee Fund for Farmer Producer Companies' initiative, strengthening input subsidy across India.","Credit Guarantee Fund for Farmer Producer Companies is a central-level scheme implemented to promote input subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Red Gram (Tur Dal),Farmers with Valid Land Records,0,,250000,18,,No,Yes,No,Yes,FPO Registration Certificate; Soil Health Card; Land Passbook / Pattadar Passbook; Ration Card; Tenant Farmer Certificate; Encumbrance Certificate,500000,90,No,None,15,Online,https://agriwelfare.gov.in,7.5,Active
SCHM026,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Crop Insurance,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'PM Kusum Scheme (Solar Pump & Grid Connected Plants)' initiative, strengthening crop insurance across India.","PM Kusum Scheme (Solar Pump & Grid Connected Plants) is a central-level scheme implemented to promote crop insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Landholding Farmer,Soybean,All Categories of Farmers,0.5,10,300000,18,60,Yes,Yes,Yes,Yes,Mobile Number linked to Aadhaar; Caste Certificate; Tenant Farmer Certificate; Voter ID; Soil Health Card,250000,90,No,None,20,Online,https://agriwelfare.gov.in,5.5,Active
SCHM027,Gramin Bhandaran Yojana,Input Subsidy,Central,All India,Ministry of Food Processing Industries,Department of Food Processing Industries,"To provide financial and technical support to eligible farmers under the 'Gramin Bhandaran Yojana' initiative, strengthening input subsidy across India.","Gramin Bhandaran Yojana is a central-level scheme implemented to promote input subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Horticulture Crops,Sharecroppers with Certificate,0.5,7.5,300000,18,70,No,Yes,Yes,Yes,Soil Health Card; Land Passbook / Pattadar Passbook; Mobile Number linked to Aadhaar; FPO Registration Certificate; Income Certificate; Encumbrance Certificate,250000,100,Yes,3% p.a.,10,Online and Offline (CSC),https://agriwelfare.gov.in,7.4,Inactive
SCHM028,National Mission on Edible Oils - Oil Palm (NMEO-OP),Capacity Building,Central,All India,Ministry of Finance,Department of Financial Services,"To provide financial and technical support to eligible farmers under the 'National Mission on Edible Oils - Oil Palm (NMEO-OP)' initiative, strengthening capacity building across India.","National Mission on Edible Oils - Oil Palm (NMEO-OP) is a central-level scheme implemented to promote capacity building, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Women Farmer,Sugarcane,Women-headed Farm Households,0.5,2.5,150000,18,65,Yes,Yes,Yes,Yes,Mobile Number linked to Aadhaar; Bank Passbook; Crop Sowing Certificate; Tenant Farmer Certificate; Land Passbook / Pattadar Passbook; Aadhaar Card,150000,50,No,None,20,Offline,https://agriwelfare.gov.in,6.7,Active
SCHM029,Livestock Health and Disease Control Programme,Interest Subvention,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Livestock Health and Disease Control Programme' initiative, strengthening interest subvention across India.","Livestock Health and Disease Control Programme is a central-level scheme implemented to promote interest subvention, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Oilseeds,Sharecroppers with Certificate,0,10,300000,18,65,Yes,Yes,Yes,Yes,Land Passbook / Pattadar Passbook; Voter ID; Caste Certificate; Passport Size Photograph; Crop Sowing Certificate,500000,50,Yes,1.5% p.a.,20,Offline,https://agriwelfare.gov.in,9.5,Active
SCHM030,Rashtriya Gokul Mission,Livestock Support,Central,All India,Ministry of Jal Shakti,"Department of Water Resources, River Development and Ganga Rejuvenation","To provide financial and technical support to eligible farmers under the 'Rashtriya Gokul Mission' initiative, strengthening livestock support across India.","Rashtriya Gokul Mission is a central-level scheme implemented to promote livestock support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Paddy,Tenant & Landowning Farmers,0,,100000,18,60,Yes,Yes,Yes,Yes,Bank Passbook; Aadhaar Card; Caste Certificate; Tenant Farmer Certificate,250000,90,Yes,2% p.a.,10,Offline,https://agriwelfare.gov.in,8.5,Active
SCHM031,Rythu Bandhu Investment Support Scheme,Subsidy,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Rythu Bandhu Investment Support Scheme' initiative, strengthening subsidy across Telangana State.","Rythu Bandhu Investment Support Scheme is a telangana-level scheme implemented to promote subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Farmer Producer Organisation (FPO),Chilli,Farmers with Valid Land Records,0,10,100000,18,70,Yes,Yes,Yes,Yes,Encumbrance Certificate; Ration Card; Passport Size Photograph; Mobile Number linked to Aadhaar; FPO Registration Certificate,75000,33,No,None,45,Offline,https://agri.telangana.gov.in,8.5,Active
SCHM032,Rythu Bima Life Insurance Scheme,Price Support,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Rythu Bima Life Insurance Scheme' initiative, strengthening price support across Telangana State.","Rythu Bima Life Insurance Scheme is a telangana-level scheme implemented to promote price support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Agricultural Labourer,Cotton,Landowning Farmers,1,,150000,18,60,Yes,Yes,Yes,Yes,Passport Size Photograph; Aadhaar Card; Bank Passbook; Tenant Farmer Certificate; Voter ID; Crop Sowing Certificate,20000,40,No,None,45,Offline,https://agri.telangana.gov.in,9.8,Active
SCHM033,Telangana Free Crop Insurance Scheme,Infrastructure Development,Telangana,Telangana,Telangana Department of Rural Development,"Society for Elimination of Rural Poverty (SERP), Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Free Crop Insurance Scheme' initiative, strengthening infrastructure development across Telangana State.","Telangana Free Crop Insurance Scheme is a telangana-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Landholding Farmer,Maize,Small & Marginal Farmers,0.5,7.5,300000,21,70,No,Yes,Yes,No,Income Certificate; Ration Card; FPO Registration Certificate; Land Passbook / Pattadar Passbook,500000,75,Yes,None,60,Online and Offline (CSC),https://agri.telangana.gov.in,7.3,Active
SCHM034,Telangana Farm Mechanization Scheme,Credit Support,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Farm Mechanization Scheme' initiative, strengthening credit support across Telangana State.","Telangana Farm Mechanization Scheme is a telangana-level scheme implemented to promote credit support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Fruits,Sharecroppers with Certificate,0,2.5,150000,18,70,No,Yes,No,Yes,Crop Sowing Certificate; Passport Size Photograph; Soil Health Card; Bank Passbook,20000,100,Yes,2% p.a.,30,Offline,https://agri.telangana.gov.in,5.5,Active
SCHM035,Telangana Micro Irrigation Project Subsidy,Market Support,Telangana,Telangana,Telangana Department of Agriculture,"Directorate of Agriculture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Micro Irrigation Project Subsidy' initiative, strengthening market support across Telangana State.","Telangana Micro Irrigation Project Subsidy is a telangana-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Agricultural Labourer,Sugarcane,FPO Member Farmers,1,7.5,200000,18,,Yes,Yes,No,Yes,FPO Registration Certificate; Land Passbook / Pattadar Passbook; Ration Card; Caste Certificate; Income Certificate,500000,100,Yes,2% p.a.,15,Online and Offline (CSC),https://agri.telangana.gov.in,6.5,Inactive
SCHM036,24-Hour Free Power Supply for Agriculture,Life & Disability Insurance,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the '24-Hour Free Power Supply for Agriculture' initiative, strengthening life & disability insurance across Telangana State.","24-Hour Free Power Supply for Agriculture is a telangana-level scheme implemented to promote life & disability insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,Vegetables,Sharecroppers with Certificate,0.5,5,250000,21,,Yes,Yes,Yes,Yes,Passport Size Photograph; Caste Certificate; Soil Health Card; Encumbrance Certificate; Aadhaar Card,25000,90,No,None,20,Online and Offline (CSC),https://agri.telangana.gov.in,9.0,Active
