crop_id,crop_name,season,soil_type,minimum_rainfall,maximum_rainfall,water_requirement,market_category,insurance_available,recommended_schemes,recommended_loans
CROP037,Sugarcane,Year-round (Perennial),Black Soil (Regur),1100,1950,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP038,Jute,Kharif,Laterite Soil,1250,1700,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP039,Tobacco,Kharif,Saline / Alkaline Tolerant Soil,1200,2000,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP040,Mesta,Kharif,Well-Drained Loamy Soil,1000,1900,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP041,Sunhemp,Year-round (Perennial),Sandy Loam Soil,1050,1900,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP042,Guar (Cluster Bean Seed),Kharif,Well-Drained Loamy Soil,1050,1750,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
CROP043,Tomato,Kharif,Clay Loam Soil,1100,1850,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP044,Onion,Kharif,Clay Loam Soil,1150,1850,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP045,Potato,Zaid (Summer),Clay Loam Soil,600,1200,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP046,Brinjal,Kharif,Red Soil,1150,1950,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP047,Okra (Lady Finger),Kharif,Red Soil,850,1050,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP048,Cauliflower,Kharif,Sandy Loam Soil,600,1000,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP049,Cabbage,Zaid (Summer),Alluvial Soil,800,1100,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP050,Carrot,Kharif,Well-Drained Loamy Soil,800,1150,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP051,Radish,Zaid (Summer),Sandy Loam Soil,1200,1750,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP052,Cluster Bean,Kharif,Black Soil (Regur),650,1050,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP053,Bottle Gourd,Zaid (Summer),Well-Drained Loamy Soil,1200,2000,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP054,Bitter Gourd,Kharif,Laterite Soil,1100,1900,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP055,Ridge Gourd,Rabi,Saline / Alkaline Tolerant Soil,750,1050,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP056,Pumpkin,Rabi,Clay Loam Soil,650,1200,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP057,Cucumber,Rabi,Laterite Soil,1150,1900,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP058,Spinach,Rabi,Sandy Loam Soil,750,1150,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP059,Green Chilli,Zaid (Summer),Black Soil (Regur),1150,2000,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP060,Capsicum,Zaid (Summer),Laterite Soil,1150,1900,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP061,Green Peas,Kharif,Clay Loam Soil,1250,1900,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP062,Sweet Potato,Kharif,Red Soil,750,1100,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP063,French Beans,Rabi,Sandy Loam Soil,850,1100,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP064,Drumstick (Moringa),Rabi,Sandy Loam Soil,750,1200,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP065,Ash Gourd,Rabi,Black Soil (Regur),1250,1700,High,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP066,Beetroot,Zaid (Summer),Alluvial Soil,750,1100,Medium,Vegetable,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan; Crop Loan (Seasonal Agricultural Operations)
CROP067,Mango,Year-round (Perennial),Laterite Soil,800,1000,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP068,Banana,Year-round (Perennial),Sandy Loam Soil,750,950,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP069,Grapes,Year-round (Perennial),Saline / Alkaline Tolerant Soil,1000,1850,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP070,Papaya,Year-round (Perennial),Red Soil,1050,1950,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP071,Guava,Year-round (Perennial),Red Soil,800,950,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP072,Pomegranate,Year-round (Perennial),Sandy Loam Soil,850,1200,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP073,Orange (Citrus),Year-round (Perennial),Red Soil,700,1050,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP074,Lemon,Year-round (Perennial),Clay Loam Soil,600,1100,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP075,Sapota (Chikoo),Year-round (Perennial),Well-Drained Loamy Soil,800,1000,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP076,Watermelon,Year-round (Perennial),Sandy Loam Soil,800,950,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP077,Muskmelon,Year-round (Perennial),Laterite Soil,650,1150,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP078,Apple,Year-round (Perennial),Sandy Loam Soil,850,1100,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP079,Pineapple,Year-round (Perennial),Well-Drained Loamy Soil,1000,1850,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP080,Litchi,Year-round (Perennial),Sandy Loam Soil,1150,1800,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP081,Custard Apple,Year-round (Perennial),Saline / Alkaline Tolerant Soil,1200,1950,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP082,Jackfruit,Year-round (Perennial),Sandy Loam Soil,750,1150,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP083,Fig,Year-round (Perennial),Clay Loam Soil,1100,1750,High,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP084,Ber (Indian Jujube),Year-round (Perennial),Sandy Loam Soil,650,1050,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP085,Sweet Lime (Mosambi),Year-round (Perennial),Clay Loam Soil,650,1150,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP086,Strawberry,Year-round (Perennial),Well-Drained Loamy Soil,700,1200,Medium,Fruit,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Horticulture Mission,Horticulture & Plantation Loan; Micro Irrigation / Drip & Sprinkler Loan
CROP087,Turmeric,Kharif,Red Soil,750,950,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP088,Red Chilli,Kharif,Clay Loam Soil,750,1000,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP089,Coriander,Kharif,Laterite Soil,850,950,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP090,Cumin,Rabi,Clay Loam Soil,700,900,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP091,Fenugreek,Kharif,Sandy Loam Soil,700,950,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP092,Black Pepper,Kharif,Clay Loam Soil,500,800,Low,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP093,Cardamom,Rabi,Laterite Soil,400,700,Low,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP094,Ginger,Rabi,Black Soil (Regur),300,700,Low,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP095,Garlic,Rabi,Sandy Loam Soil,600,1050,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP096,Fennel,Kharif,Alluvial Soil,400,700,Low,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP097,Tamarind,Rabi,Clay Loam Soil,650,900,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP098,Curry Leaf,Rabi,Saline / Alkaline Tolerant Soil,600,1150,Medium,Spice,Yes,Mission for Integrated Development of Horticulture (MIDH); Telangana Turmeric Board Support Scheme,Horticulture & Plantation Loan; Warehouse Receipt / Post-Harvest Loan
CROP099,Coconut,Year-round (Perennial),Saline / Alkaline Tolerant Soil,1050,2000,High,Plantation,Yes,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP100,Arecanut,Year-round (Perennial),Saline / Alkaline Tolerant Soil,1150,1850,High,Plantation,No,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP101,Cashew,Year-round (Perennial),Saline / Alkaline Tolerant Soil,1100,2000,High,Plantation,No,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP102,Tea,Year-round (Perennial),Clay Loam Soil,1100,2000,High,Plantation,No,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP103,Coffee,Year-round (Perennial),Sandy Loam Soil,1250,2000,High,Plantation,Yes,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP104,Rubber,Year-round (Perennial),Red Soil,1050,2000,High,Plantation,No,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP105,Oil Palm,Year-round (Perennial),Alluvial Soil,1050,1700,High,Plantation,No,Mission for Integrated Development of Horticulture (MIDH); National Mission on Edible Oils - Oil Palm (NMEO-OP),Horticulture & Plantation Loan; Agri Infrastructure & Cold Storage Loan
CROP106,Lucerne (Alfalfa),Rabi,Black Soil (Regur),700,950,Medium,Fodder,No,National Livestock Mission; Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan; Kisan Credit Card (KCC)
CROP107,Berseem,Kharif,Sandy Loam Soil,650,1200,Medium,Fodder,No,National Livestock Mission; Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan; Kisan Credit Card (KCC)
CROP108,Maize Fodder,Rabi,Clay Loam Soil,800,1000,Medium,Fodder,No,National Livestock Mission; Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan; Kisan Credit Card (KCC)
CROP109,Sorghum Fodder,Kharif,Clay Loam Soil,1000,2000,High,Fodder,No,National Livestock Mission; Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan; Kisan Credit Card (KCC)
CROP110,Napier Grass (Hybrid Fodder),Zaid (Summer),Well-Drained Loamy Soil,1200,2000,High,Fodder,Yes,National Livestock Mission; Rashtriya Krishi Vikas Yojana (RKVY),Dairy & Livestock Development Loan; Kisan Credit Card (KCC)
