insurance_id,insurance_name,provider,coverage_type,covered_crop,covered_risk,premium_percentage,government_subsidy,claim_period,coverage_amount,documents_required,eligible_farmer,claim_process,district_applicable,priority_score
INS011,Pradhan Mantri Fasal Bima Yojana - Kharif Chickpea (Gram) Cover,ICICI Lombard General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Chickpea (Gram),Fire and Lightning,2.0,75,Within 45 days of Crop Cutting Experiment results,100000,Tenant Farmer / Sharecropper Certificate; Village / Revenue Officer Certificate; Land Ownership / Pattadar Passbook; Livestock Health & Vaccination Certificate; Ration Card; Passport Size Photograph; Ear-Tag / Animal Identification Certificate,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",All Districts,8.0
INS012,Pradhan Mantri Fasal Bima Yojana - Rabi Paddy Cover,Universal Sompo General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Paddy,"Drought, Dry Spell & Deficit Rainfall",2.0,40,Within 45 days of Crop Cutting Experiment results,250000,Ear-Tag / Animal Identification Certificate; Tenant Farmer / Sharecropper Certificate; Crop Sowing Certificate; Premium Payment Receipt; Aadhaar Card,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,6.5
INS013,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Banana,Cholamandalam MS General Insurance,Weather-Index Based Insurance,Banana,Unseasonal Rainfall During Harvest,3.47,75,Auto-settled within 30 days of index data availability,150000,Ration Card; Village / Revenue Officer Certificate; Premium Payment Receipt; Ear-Tag / Animal Identification Certificate,Non-Loanee Farmers (Voluntary Enrolment),Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Nalgonda, Nizamabad, Suryapet, Warangal",6.8
INS014,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Grapes,IFFCO-Tokio General Insurance,Weather-Index Based Insurance,Grapes,Deficit / Excess Rainfall Index,4.6,90,Auto-settled within 30 days of index data availability,200000,Ration Card; Village / Revenue Officer Certificate; Aadhaar Card; Insurance Proposal Form; Ear-Tag / Animal Identification Certificate; Crop Sowing Certificate; Passport Size Photograph,Sharecroppers and Tenant Farmers with Valid Certificate,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,6.1
INS015,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Grapes (Variant 2),Agriculture Insurance Company of India (AIC),Weather-Index Based Insurance,Grapes,Deficit / Excess Rainfall Index,2.74,90,Within 45 days of the risk period closure,200000,Insurance Proposal Form; Tenant Farmer / Sharecropper Certificate; Passport Size Photograph; Village / Revenue Officer Certificate; Premium Payment Receipt; Livestock Health & Vaccination Certificate; Bank Passbook / Cancelled Cheque,Farmers with Registered Livestock and Health Certificate,"Loss intimation within 72 hours via toll-free number, insurer portal, or Common Service Centre; yield-based assessment through Crop Cutting Experiments (CCE) determines the claim payout.",All Districts,7.4
INS016,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Turmeric,Future Generali India Insurance,Weather-Index Based Insurance,Turmeric,Frost and Cold Wave Damage,3.81,50,Within 45 days of the risk period closure,200000,Tenant Farmer / Sharecropper Certificate; Insurance Proposal Form; Livestock Health & Vaccination Certificate; Passport Size Photograph; Crop Sowing Certificate; Village / Revenue Officer Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Karimnagar, Nalgonda, Warangal",6.6
INS017,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Chilli,SBI General Insurance,Weather-Index Based Insurance,Chilli,Deficit / Excess Rainfall Index,3.66,40,Within 45 days of the risk period closure,150000,Ear-Tag / Animal Identification Certificate; Insurance Proposal Form; Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook; Passport Size Photograph; Village / Revenue Officer Certificate; Premium Payment Receipt,Non-Loanee Farmers (Voluntary Enrolment),Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Adilabad, Khammam, Nalgonda, Nizamabad",7.6
INS018,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Banana (Variant 2),HDFC ERGO General Insurance,Weather-Index Based Insurance,Banana,Temperature Deviation (Heat/Cold Wave),2.72,90,Within 45 days of the risk period closure,200000,Land Ownership / Pattadar Passbook; Passport Size Photograph; Insurance Proposal Form; Livestock Health & Vaccination Certificate; Ration Card; Tenant Farmer / Sharecropper Certificate; Crop Sowing Certificate,Farmers with Registered Livestock and Health Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Jagtial, Khammam, Mahbubnagar, Suryapet",5.5
INS019,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Paddy,Bajaj Allianz General Insurance,Weather-Index Based Insurance,Paddy,Humidity Fluctuation Impact,4.43,90,Within 45 days of the risk period closure,30000,Ration Card; Village / Revenue Officer Certificate; Aadhaar Card; Passport Size Photograph,Landowning Farmers with Revenue Records,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,"Adilabad, Karimnagar, Khammam, Medak, Nizamabad, Warangal",6.0
INS020,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Paddy (Variant 2),IFFCO-Tokio General Insurance,Weather-Index Based Insurance,Paddy,Humidity Fluctuation Impact,2.5,75,Within 45 days of the risk period closure,150000,Crop Sowing Certificate; Tenant Farmer / Sharecropper Certificate; Passport Size Photograph; Village / Revenue Officer Certificate,Landowning Farmers with Revenue Records,"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",All Districts,7.9
INS021,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Paddy (Variant 3),Future Generali India Insurance,Weather-Index Based Insurance,Paddy,Frost and Cold Wave Damage,3.75,40,Within 45 days of the risk period closure,250000,Land Ownership / Pattadar Passbook; Aadhaar Card; Insurance Proposal Form; Ration Card; Village / Revenue Officer Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,6.3
INS022,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Maize,IFFCO-Tokio General Insurance,Weather-Index Based Insurance,Maize,Humidity Fluctuation Impact,3.92,40,Auto-settled within 30 days of index data availability,200000,Land Ownership / Pattadar Passbook; Ration Card; Bank Passbook / Cancelled Cheque; Tenant Farmer / Sharecropper Certificate,Non-Loanee Farmers (Voluntary Enrolment),Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,State-wide (All Notified Districts),5.3
INS023,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Pulses,Agriculture Insurance Company of India (AIC),Weather-Index Based Insurance,Pulses,Wind Speed & Cyclonic Weather,2.83,90,Within 45 days of the risk period closure,50000,Bank Passbook / Cancelled Cheque; Tenant Farmer / Sharecropper Certificate; Premium Payment Receipt; Ration Card,Non-Loanee Farmers (Voluntary Enrolment),Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,8.5
INS024,Restructured Weather Based Crop Insurance Scheme (RWBCIS) - Cotton,SBI General Insurance,Weather-Index Based Insurance,Cotton,Humidity Fluctuation Impact,4.48,50,Auto-settled within 30 days of index data availability,200000,Village / Revenue Officer Certificate; Ration Card; Land Ownership / Pattadar Passbook; Aadhaar Card; Premium Payment Receipt; Tenant Farmer / Sharecropper Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",State-wide (All Notified Districts),9.0
INS025,Horticulture Crop Insurance Scheme - Mango,ICICI Lombard General Insurance,Horticulture & Plantation Crop Insurance,Mango,Pest & Disease Infestation,5.04,90,Within 60 days of claim intimation,200000,Crop Sowing Certificate; Passport Size Photograph; Tenant Farmer / Sharecropper Certificate; Insurance Proposal Form,Farmers with Registered Livestock and Health Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,9.6
INS026,Horticulture Crop Insurance Scheme - Vegetables,National Insurance Company,Horticulture & Plantation Crop Insurance,Vegetables,Drought and Water Stress,4.82,60,Within 60 days of claim intimation,300000,Land Ownership / Pattadar Passbook; Ration Card; Livestock Health & Vaccination Certificate; Passport Size Photograph; Tenant Farmer / Sharecropper Certificate,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Nalgonda, Nizamabad, Rangareddy, Sangareddy, Siddipet",6.2
INS027,Horticulture Crop Insurance Scheme - Grapes,Bajaj Allianz General Insurance,Horticulture & Plantation Crop Insurance,Grapes,Drought and Water Stress,4.62,50,Within 60 days of claim intimation,75000,Passport Size Photograph; Village / Revenue Officer Certificate; Aadhaar Card; Tenant Farmer / Sharecropper Certificate,Farmers with Registered Livestock and Health Certificate,"Loss intimation within 72 hours via toll-free number, insurer portal, or Common Service Centre; yield-based assessment through Crop Cutting Experiments (CCE) determines the claim payout.",All Districts,9.6
INS028,Horticulture Crop Insurance Scheme - Citrus (Orange/Lemon),Bajaj Allianz General Insurance,Horticulture & Plantation Crop Insurance,Citrus (Orange/Lemon),Cyclone and Strong Winds,3.89,50,Within 30 days of yield data finalization,300000,Village / Revenue Officer Certificate; Livestock Health & Vaccination Certificate; Insurance Proposal Form; Ear-Tag / Animal Identification Certificate; Tenant Farmer / Sharecropper Certificate; Premium Payment Receipt; Bank Passbook / Cancelled Cheque,Non-Loanee Farmers (Voluntary Enrolment),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",State-wide (All Notified Districts),9.1
INS029,Horticulture Crop Insurance Scheme - Chilli,National Insurance Company,Horticulture & Plantation Crop Insurance,Chilli,Frost Damage,3.8,75,Within 45 days of Crop Cutting Experiment results,75000,Premium Payment Receipt; Village / Revenue Officer Certificate; Insurance Proposal Form; Crop Sowing Certificate,Farmers with Registered Livestock and Health Certificate,"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.","Kamareddy, Karimnagar, Mahbubnagar, Nagarkurnool",5.2
INS030,Horticulture Crop Insurance Scheme - Vegetables (Variant 2),United India Insurance Company,Horticulture & Plantation Crop Insurance,Vegetables,Drought and Water Stress,4.73,60,Within 30 days of yield data finalization,150000,Ear-Tag / Animal Identification Certificate; Ration Card; Insurance Proposal Form; Aadhaar Card; Livestock Health & Vaccination Certificate,Non-Loanee Farmers (Voluntary Enrolment),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",State-wide (All Notified Districts),6.7
INS031,Horticulture Crop Insurance Scheme - Tomato,ICICI Lombard General Insurance,Horticulture & Plantation Crop Insurance,Tomato,Cyclone and Strong Winds,4.89,75,Within 60 days of claim intimation,300000,Crop Sowing Certificate; Bank Passbook / Cancelled Cheque; Premium Payment Receipt; Ear-Tag / Animal Identification Certificate,Farmers with Registered Livestock and Health Certificate,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,9.6
INS032,Horticulture Crop Insurance Scheme - Vegetables (Variant 3),National Insurance Company,Horticulture & Plantation Crop Insurance,Vegetables,Drought and Water Stress,5.67,40,Within 60 days of claim intimation,100000,Livestock Health & Vaccination Certificate; Land Ownership / Pattadar Passbook; Ear-Tag / Animal Identification Certificate; Crop Sowing Certificate; Bank Passbook / Cancelled Cheque,Farmers with Registered Livestock and Health Certificate,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),8.2
INS033,Horticulture Crop Insurance Scheme - Pomegranate,Bajaj Allianz General Insurance,Horticulture & Plantation Crop Insurance,Pomegranate,Pest & Disease Infestation,4.49,90,Within 45 days of Crop Cutting Experiment results,75000,Livestock Health & Vaccination Certificate; Premium Payment Receipt; Ration Card; Ear-Tag / Animal Identification Certificate,All Farmers (Loanee and Non-Loanee),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",All Districts,6.4
INS034,Horticulture Crop Insurance Scheme - Tomato (Variant 2),ICICI Lombard General Insurance,Horticulture & Plantation Crop Insurance,Tomato,Hailstorm and Unseasonal Rain,3.37,75,Within 60 days of claim intimation,200000,Ear-Tag / Animal Identification Certificate; Tenant Farmer / Sharecropper Certificate; Village / Revenue Officer Certificate; Insurance Proposal Form,Sharecroppers and Tenant Farmers with Valid Certificate,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Adilabad, Jagtial, Mahbubnagar, Nagarkurnool, Nalgonda",5.7
INS035,Horticulture Crop Insurance Scheme - Chilli (Variant 2),HDFC ERGO General Insurance,Horticulture & Plantation Crop Insurance,Chilli,Fire Damage to Plantation,4.94,90,Within 60 days of claim intimation,200000,Insurance Proposal Form; Tenant Farmer / Sharecropper Certificate; Aadhaar Card; Ear-Tag / Animal Identification Certificate; Livestock Health & Vaccination Certificate,Horticulture Growers with Plantation Records,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Karimnagar, Nalgonda, Rangareddy",5.8
INS036,Horticulture Crop Insurance Scheme - Papaya,United India Insurance Company,Horticulture & Plantation Crop Insurance,Papaya,Drought and Water Stress,5.08,50,Within 30 days of yield data finalization,50000,Land Ownership / Pattadar Passbook; Tenant Farmer / Sharecropper Certificate; Ear-Tag / Animal Identification Certificate; Aadhaar Card; Village / Revenue Officer Certificate; Passport Size Photograph; Bank Passbook / Cancelled Cheque,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",All Districts,5.8
INS037,Livestock Insurance Scheme - Dairy Cattle,Oriental Insurance Company,Livestock & Cattle Insurance,Not Crop Specific - Dairy Cattle,Theft (Add-on Cover),3.31,40,Within 21 days of claim intimation,100000,Ration Card; Aadhaar Card; Bank Passbook / Cancelled Cheque; Tenant Farmer / Sharecropper Certificate; Ear-Tag / Animal Identification Certificate,Landowning Farmers with Revenue Records,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",All Districts,6.2
INS038,Livestock Insurance Scheme - Piggery,United India Insurance Company,Livestock & Cattle Insurance,Not Crop Specific - Piggery,Surgical Complications,3.9,40,Within 30 days of post-mortem report submission,50000,Livestock Health & Vaccination Certificate; Premium Payment Receipt; Passport Size Photograph; Aadhaar Card; Insurance Proposal Form; Ration Card,Sharecroppers and Tenant Farmers with Valid Certificate,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),5.9
INS039,Livestock Insurance Scheme - Dairy Cattle (Variant 2),Oriental Insurance Company,Livestock & Cattle Insurance,Not Crop Specific - Dairy Cattle,Natural Calamities (Flood/Fire/Lightning),4.05,90,Within 30 days of post-mortem report submission,75000,Crop Sowing Certificate; Premium Payment Receipt; Livestock Health & Vaccination Certificate; Insurance Proposal Form; Ear-Tag / Animal Identification Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,5.6
INS040,Livestock Insurance Scheme - Dairy Cattle (Variant 3),ICICI Lombard General Insurance,Livestock & Cattle Insurance,Not Crop Specific - Dairy Cattle,Permanent Total Disability,3.15,50,Within 21 days of claim intimation,50000,Passport Size Photograph; Bank Passbook / Cancelled Cheque; Crop Sowing Certificate; Insurance Proposal Form; Tenant Farmer / Sharecropper Certificate; Aadhaar Card,Non-Loanee Farmers (Voluntary Enrolment),Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,"Jagtial, Rangareddy, Warangal",7.8
INS041,Livestock Insurance Scheme - Buffalo,New India Assurance Company,Livestock & Cattle Insurance,Not Crop Specific - Buffalo,Death due to Disease,3.49,50,Within 30 days of post-mortem report submission,60000,Aadhaar Card; Passport Size Photograph; Ration Card; Tenant Farmer / Sharecropper Certificate; Land Ownership / Pattadar Passbook,All Farmers (Loanee and Non-Loanee),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",All Districts,5.8
INS042,Livestock Insurance Scheme - Dairy Cattle (Variant 4),New India Assurance Company,Livestock & Cattle Insurance,Not Crop Specific - Dairy Cattle,Theft (Add-on Cover),4.05,90,Within 30 days of post-mortem report submission,40000,Ration Card; Passport Size Photograph; Tenant Farmer / Sharecropper Certificate; Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Premium Payment Receipt,Non-Loanee Farmers (Voluntary Enrolment),Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,6.6
INS043,Livestock Insurance Scheme - Buffalo (Variant 2),Bajaj Allianz General Insurance,Livestock & Cattle Insurance,Not Crop Specific - Buffalo,Natural Calamities (Flood/Fire/Lightning),3.86,90,Within 21 days of claim intimation,25000,Ear-Tag / Animal Identification Certificate; Crop Sowing Certificate; Premium Payment Receipt; Ration Card; Passport Size Photograph,Horticulture Growers with Plantation Records,"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.","Adilabad, Jagtial, Khammam, Siddipet, Suryapet, Warangal",9.0
INS044,Livestock Insurance Scheme - Buffalo (Variant 3),ICICI Lombard General Insurance,Livestock & Cattle Insurance,Not Crop Specific - Buffalo,Death due to Disease,4.24,50,Within 30 days of post-mortem report submission,40000,Livestock Health & Vaccination Certificate; Ear-Tag / Animal Identification Certificate; Ration Card; Tenant Farmer / Sharecropper Certificate; Land Ownership / Pattadar Passbook; Premium Payment Receipt; Village / Revenue Officer Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,7.6
INS045,Livestock Insurance Scheme - Buffalo (Variant 4),Agriculture Insurance Company of India (AIC),Livestock & Cattle Insurance,Not Crop Specific - Buffalo,Theft (Add-on Cover),2.51,40,Within 21 days of claim intimation,60000,Insurance Proposal Form; Aadhaar Card; Bank Passbook / Cancelled Cheque; Premium Payment Receipt,All Farmers (Loanee and Non-Loanee),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.","Jagtial, Khammam, Mahbubnagar, Rangareddy, Siddipet",8.8
INS046,Livestock Insurance Scheme - Piggery (Variant 2),Oriental Insurance Company,Livestock & Cattle Insurance,Not Crop Specific - Piggery,Death due to Disease,3.06,40,Within 30 days of post-mortem report submission,50000,Livestock Health & Vaccination Certificate; Premium Payment Receipt; Crop Sowing Certificate; Ear-Tag / Animal Identification Certificate; Land Ownership / Pattadar Passbook; Village / Revenue Officer Certificate; Insurance Proposal Form,Farmers with Registered Livestock and Health Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,8.2
INS047,Livestock Insurance Scheme - Dairy Cattle (Variant 5),Bajaj Allianz General Insurance,Livestock & Cattle Insurance,Not Crop Specific - Dairy Cattle,Natural Calamities (Flood/Fire/Lightning),4.09,50,Within 21 days of claim intimation,50000,Land Ownership / Pattadar Passbook; Premium Payment Receipt; Tenant Farmer / Sharecropper Certificate; Ration Card,All Farmers (Loanee and Non-Loanee),"Loss intimation within 72 hours via toll-free number, insurer portal, or Common Service Centre; yield-based assessment through Crop Cutting Experiments (CCE) determines the claim payout.",All Districts,5.9
INS048,Livestock Insurance Scheme - Piggery (Variant 3),ICICI Lombard General Insurance,Livestock & Cattle Insurance,Not Crop Specific - Piggery,Death due to Accident,4.2,50,Within 21 days of claim intimation,75000,Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook; Crop Sowing Certificate; Passport Size Photograph; Village / Revenue Officer Certificate,Non-Loanee Farmers (Voluntary Enrolment),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.","Adilabad, Khammam, Mahbubnagar, Nagarkurnool, Sangareddy, Warangal",6.5
INS049,TATA AIG Private Crop Protect Plan - Sugarcane,TATA AIG General Insurance,Comprehensive Private Crop Insurance,Sugarcane,Post-Harvest Storage Loss,5.73,0,Within 30 days of yield data finalization,150000,Insurance Proposal Form; Land Ownership / Pattadar Passbook; Livestock Health & Vaccination Certificate; Ear-Tag / Animal Identification Certificate; Aadhaar Card; Tenant Farmer / Sharecropper Certificate; Passport Size Photograph,All Farmers (Loanee and Non-Loanee),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),9.5
