subsidy_id,subsidy_name,scheme_name,crop,state,subcategory,maximum_amount,percentage,eligibility,documents,application_process,priority_score
SUB011,Subsidy for Primary Processing Unit,Telangana Farm Mechanization Scheme,Chilli,Telangana,Post-Harvest & Storage Infrastructure,175000,33,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Caste Certificate; Land Ownership / Pattadar Passbook; Aadhaar Card; Bank Passbook / Cancelled Cheque; Soil Health Card,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.3
SUB012,Subsidy for Beekeeping Equipment Kit,Telangana Farmer Producer Organisation Promotion Scheme,Horticulture Crops,Telangana,Beekeeping & Apiculture,6000,100,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Soil Health Card; Voter ID / Address Proof; Tenant Farmer Certificate; Aadhaar Card; Previous Subsidy Non-Availment Declaration; Quotation from Authorized Dealer; Crop Sowing Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",6.8
SUB013,Subsidy for Farm Pond Construction,Telangana Sheep Distribution Scheme,Horticulture Crops,Telangana,Farm Pond & Water Conservation,86000,50,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Land Ownership / Pattadar Passbook; Crop Sowing Certificate; Voter ID / Address Proof; Passport Size Photograph; Soil Health Card,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.4
SUB014,Subsidy for Aquaculture Unit,Micro Irrigation Fund (MIF),Not Crop Specific - Fisheries,All India,Fisheries & Aquaculture,117500,100,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Bank Passbook / Cancelled Cheque; Soil Health Card; Crop Sowing Certificate; Previous Subsidy Non-Availment Declaration; Aadhaar Card; Passport Size Photograph,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",6.2
SUB015,Subsidy for Micro-Sprinkler Set,Telangana Millet Mission,Horticulture Crops,Telangana,Micro Irrigation & Drip/Sprinkler,97500,90,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Bank Passbook / Cancelled Cheque; FPO / SHG Registration Certificate; Caste Certificate; Previous Subsidy Non-Availment Declaration,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,5.7
SUB016,Subsidy for Dairy Shed Construction (Variant 2),Sub-Mission on Agricultural Mechanization (SMAM),Not Crop Specific - Buffalo,Telangana,Livestock & Dairy Development,51250,33,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Crop Sowing Certificate; Previous Subsidy Non-Availment Declaration; Voter ID / Address Proof; FPO / SHG Registration Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",7.4
SUB017,Subsidy for Beekeeping Equipment Kit (Variant 2),Rashtriya Krishi Vikas Yojana (RKVY),Not Crop Specific - Apiculture,Telangana,Beekeeping & Apiculture,10000,40,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Voter ID / Address Proof; Income Certificate; Quotation from Authorized Dealer; Aadhaar Card; Land Ownership / Pattadar Passbook; Passport Size Photograph; Previous Subsidy Non-Availment Declaration,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.9
SUB018,Subsidy for Farm Equipment Bank (Variant 3),Telangana Oil Palm Area Expansion Scheme,All Crops,Telangana,Custom Hiring Centre,2000000,25,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",FPO / SHG Registration Certificate; Quotation from Authorized Dealer; Passport Size Photograph; Previous Subsidy Non-Availment Declaration; Crop Sowing Certificate; Voter ID / Address Proof,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.3
SUB019,Subsidy for Bee Colony Unit,Mission for Integrated Development of Horticulture (MIDH),Not Crop Specific - Apiculture,All India,Beekeeping & Apiculture,15000,25,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Soil Health Card; Previous Subsidy Non-Availment Declaration; Land Ownership / Pattadar Passbook; Caste Certificate; Bank Passbook / Cancelled Cheque; Passport Size Photograph; Crop Sowing Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",7.6
SUB020,Subsidy for Farm Pond Construction (Variant 2),Sub-Mission on Agricultural Mechanization (SMAM),All Crops,Telangana,Farm Pond & Water Conservation,75500,90,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Tenant Farmer Certificate; Previous Subsidy Non-Availment Declaration; Voter ID / Address Proof; Soil Health Card; FPO / SHG Registration Certificate; Income Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.7
SUB021,Subsidy for Pond Construction (Variant 2),Rythu Bandhu Investment Support Scheme,Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,130500,25,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Soil Health Card; Crop Sowing Certificate; Tenant Farmer Certificate; Aadhaar Card; Passport Size Photograph; Previous Subsidy Non-Availment Declaration; Land Ownership / Pattadar Passbook,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",7.0
SUB022,Subsidy for Foundation Seed (Variant 2),PM Kusum Scheme (Solar Pump & Grid Connected Plants),Maize,Telangana,Seed & Planting Material,8500,40,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Aadhaar Card; Bank Passbook / Cancelled Cheque; Quotation from Authorized Dealer; Soil Health Card; Land Ownership / Pattadar Passbook; Caste Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",9.1
SUB023,Subsidy for Sprinkler Irrigation System,Agriculture Infrastructure Fund (AIF),Vegetables,Telangana,Micro Irrigation & Drip/Sprinkler,88500,75,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Passport Size Photograph; Quotation from Authorized Dealer; FPO / SHG Registration Certificate; Caste Certificate; Aadhaar Card; Previous Subsidy Non-Availment Declaration,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,5.6
SUB024,Subsidy for Aquaculture Unit (Variant 2),PM Kusum Scheme (Solar Pump & Grid Connected Plants),Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,137000,60,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Voter ID / Address Proof; Income Certificate; Land Ownership / Pattadar Passbook; Passport Size Photograph; Crop Sowing Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.2
SUB025,Subsidy for FPO Infrastructure Support,National Beekeeping & Honey Mission (NBHM),All Crops,All India,FPO & Cooperative Development,520000,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Quotation from Authorized Dealer; Crop Sowing Certificate; Passport Size Photograph; Income Certificate; Caste Certificate; Previous Subsidy Non-Availment Declaration,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",9.0
SUB026,Subsidy for Poly House / Green House,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Vegetables,Telangana,Horticulture & Plantation,85000,33,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Caste Certificate; Quotation from Authorized Dealer; Aadhaar Card; Voter ID / Address Proof; Passport Size Photograph,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.3
SUB027,Subsidy for Solar Fencing Unit,Sub-Mission on Agricultural Mechanization (SMAM),Not Crop Specific,All India,Solar & Renewable Energy,160000,50,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Land Ownership / Pattadar Passbook; Passport Size Photograph; Tenant Farmer Certificate; Income Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.4
SUB028,Subsidy for Micro-Sprinkler Set (Variant 2),Telangana Horticulture Mission,Not Crop Specific,Telangana,Micro Irrigation & Drip/Sprinkler,66000,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Passport Size Photograph; Bank Passbook / Cancelled Cheque; Previous Subsidy Non-Availment Declaration; Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Tenant Farmer Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.6
SUB029,Subsidy for Rural Godown Construction,Telangana Farm Pond Construction Subsidy,Vegetables,Telangana,Cold Storage & Warehousing,910000,40,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Tenant Farmer Certificate; FPO / SHG Registration Certificate; Caste Certificate; Soil Health Card; Aadhaar Card,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,9.0
SUB030,Subsidy for Grading & Sorting Unit,Telangana Sheep Distribution Scheme,Paddy,Telangana,Post-Harvest & Storage Infrastructure,300000,75,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Income Certificate; Passport Size Photograph; Tenant Farmer Certificate; Caste Certificate; Voter ID / Address Proof; Land Ownership / Pattadar Passbook; Previous Subsidy Non-Availment Declaration,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,5.5
SUB031,Subsidy for Grading & Sorting Unit (Variant 2),National Beekeeping & Honey Mission (NBHM),All Crops,Telangana,Post-Harvest & Storage Infrastructure,112500,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Voter ID / Address Proof; Soil Health Card; Tenant Farmer Certificate; Bank Passbook / Cancelled Cheque; Previous Subsidy Non-Availment Declaration; Caste Certificate; Crop Sowing Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",8.2
SUB032,Subsidy for Bio-Pesticide Unit,Micro Irrigation Fund (MIF),Vegetables,All India,Organic & Natural Farming,28750,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Passport Size Photograph; FPO / SHG Registration Certificate; Land Ownership / Pattadar Passbook; Bank Passbook / Cancelled Cheque; Caste Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,6.1
SUB033,Subsidy for Custom Hiring Centre Setup (Variant 2),Agriculture Infrastructure Fund (AIF),All Crops,All India,Custom Hiring Centre,875000,40,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Quotation from Authorized Dealer; Previous Subsidy Non-Availment Declaration; Bank Passbook / Cancelled Cheque; Voter ID / Address Proof; FPO / SHG Registration Certificate; Tenant Farmer Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,7.2
SUB034,Subsidy for Bee Colony Unit (Variant 2),"Formation and Promotion of 10,000 FPOs Scheme",Not Crop Specific - Apiculture,Telangana,Beekeeping & Apiculture,12000,33,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Aadhaar Card; FPO / SHG Registration Certificate; Crop Sowing Certificate; Previous Subsidy Non-Availment Declaration; Passport Size Photograph,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,8.5
SUB035,Subsidy for Bio-Fertilizer (Variant 3),Telangana Sheep Distribution Scheme,Cotton,Telangana,Fertilizer & Soil Health,4700,100,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Income Certificate; Quotation from Authorized Dealer; Previous Subsidy Non-Availment Declaration; Aadhaar Card; Voter ID / Address Proof,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,6.5
SUB036,Subsidy for FPO Infrastructure Support (Variant 2),Paramparagat Krishi Vikas Yojana (PKVY),All Crops,Telangana,FPO & Cooperative Development,1010000,25,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Aadhaar Card; Soil Health Card; Voter ID / Address Proof; Passport Size Photograph,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,7.7
SUB037,Subsidy for Milch Animal Unit,Telangana Sheep Distribution Scheme,Not Crop Specific - Dairy Cattle,Telangana,Livestock & Dairy Development,95000,75,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Income Certificate; FPO / SHG Registration Certificate; Bank Passbook / Cancelled Cheque; Voter ID / Address Proof; Quotation from Authorized Dealer; Aadhaar Card; Tenant Farmer Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.7
SUB038,Subsidy for FPO Equity Grant,Telangana Fisheries Development Scheme (Free Fish Seed),Not Crop Specific,Telangana,FPO & Cooperative Development,310000,50,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Voter ID / Address Proof; Bank Passbook / Cancelled Cheque; Caste Certificate; Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate; Tenant Farmer Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.8
SUB039,Subsidy for Aquaculture Unit (Variant 3),Telangana Oil Palm Area Expansion Scheme,Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,150000,60,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Caste Certificate; Income Certificate; Passport Size Photograph; Voter ID / Address Proof; Bank Passbook / Cancelled Cheque,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.5
SUB040,Subsidy for Custom Hiring Centre Setup (Variant 3),Sub-Mission on Agricultural Mechanization (SMAM),Maize,All India,Custom Hiring Centre,1475000,25,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Income Certificate; Quotation from Authorized Dealer; Aadhaar Card; Previous Subsidy Non-Availment Declaration; Soil Health Card,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.2
SUB041,Subsidy for Bio-Pesticide Unit (Variant 2),Sub-Mission on Seed and Planting Material (SMSP),All Crops,Telangana,Organic & Natural Farming,18750,25,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Caste Certificate; Soil Health Card; Income Certificate; Tenant Farmer Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.2
SUB042,Subsidy for Pond Construction (Variant 3),Telangana Godown and Cold Storage Subsidy Scheme,Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,124000,33,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Aadhaar Card; Quotation from Authorized Dealer; Soil Health Card; Tenant Farmer Certificate; Income Certificate; Caste Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.8
SUB043,Subsidy for Hybrid Seed Mini-Kit,National Mission on Edible Oils - Oil Palm (NMEO-OP),Paddy,Telangana,Seed & Planting Material,13700,100,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate; Passport Size Photograph; Tenant Farmer Certificate; Quotation from Authorized Dealer,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,9.7
SUB044,Subsidy for Cooperative Society Support,Dairy Entrepreneurship Development Scheme (DEDS),All Crops,Telangana,FPO & Cooperative Development,1360000,50,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Land Ownership / Pattadar Passbook; Passport Size Photograph; FPO / SHG Registration Certificate; Income Certificate; Tenant Farmer Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",7.3
SUB045,Subsidy for Rotavator,Telangana Horticulture Mission,Paddy,Telangana,Farm Mechanization & Equipment,62500,40,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Passport Size Photograph; Bank Passbook / Cancelled Cheque; Voter ID / Address Proof; Soil Health Card; Aadhaar Card; Previous Subsidy Non-Availment Declaration; FPO / SHG Registration Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.3
SUB046,Subsidy for Area Expansion Support,Telangana Millet Mission,Banana,Telangana,Horticulture & Plantation,20000,60,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",FPO / SHG Registration Certificate; Income Certificate; Land Ownership / Pattadar Passbook; Bank Passbook / Cancelled Cheque; Passport Size Photograph,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,5.8
SUB047,Subsidy for Grafted Saplings,Telangana Godown and Cold Storage Subsidy Scheme,Paddy,Telangana,Seed & Planting Material,5900,100,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Soil Health Card; Income Certificate; Previous Subsidy Non-Availment Declaration; Quotation from Authorized Dealer; FPO / SHG Registration Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.1
SUB048,Subsidy for Solar Fencing Unit (Variant 2),Telangana Godown and Cold Storage Subsidy Scheme,Not Crop Specific,Telangana,Solar & Renewable Energy,110000,50,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Aadhaar Card; Soil Health Card; Income Certificate; Passport Size Photograph; Caste Certificate; Bank Passbook / Cancelled Cheque; Previous Subsidy Non-Availment Declaration,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,7.9
SUB049,Subsidy for Grid-Connected Solar Plant,Telangana Farm Pond Construction Subsidy,Not Crop Specific,Telangana,Solar & Renewable Energy,60000,33,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Income Certificate; Quotation from Authorized Dealer; Crop Sowing Certificate; FPO / SHG Registration Certificate; Bank Passbook / Cancelled Cheque; Voter ID / Address Proof,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,6.3
SUB050,Subsidy for Balanced Nutrient Kit,Sub-Mission on Agricultural Mechanization (SMAM),Pulses,All India,Fertilizer & Soil Health,8950,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Caste Certificate; Passport Size Photograph; Land Ownership / Pattadar Passbook; Income Certificate; Previous Subsidy Non-Availment Declaration,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",5.1
SUB051,Subsidy for On-Farm Storage Structure,Telangana Farm Pond Construction Subsidy,Not Crop Specific,Telangana,Post-Harvest & Storage Infrastructure,137500,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Passport Size Photograph; Caste Certificate; Bank Passbook / Cancelled Cheque; Crop Sowing Certificate; Previous Subsidy Non-Availment Declaration,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.9
SUB052,Subsidy for Power Tiller,Telangana Farm Mechanization Scheme,Maize,Telangana,Farm Mechanization & Equipment,106250,50,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Tenant Farmer Certificate; FPO / SHG Registration Certificate; Voter ID / Address Proof; Passport Size Photograph; Caste Certificate; Aadhaar Card; Crop Sowing Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,5.6
SUB053,Subsidy for FPO Equity Grant (Variant 2),Telangana Oil Palm Area Expansion Scheme,Not Crop Specific,Telangana,FPO & Cooperative Development,1500000,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Income Certificate; Tenant Farmer Certificate; Soil Health Card; Caste Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,6.1
SUB054,Subsidy for FPO Infrastructure Support (Variant 3),Mission for Integrated Development of Horticulture (MIDH),Not Crop Specific,All India,FPO & Cooperative Development,1430000,33,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Quotation from Authorized Dealer; Tenant Farmer Certificate; Caste Certificate; Soil Health Card,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",6.9
SUB055,Subsidy for Micro-Sprinkler Set (Variant 3),Mission for Integrated Development of Horticulture (MIDH),Cotton,All India,Micro Irrigation & Drip/Sprinkler,39000,100,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Passport Size Photograph; Quotation from Authorized Dealer; Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate; Crop Sowing Certificate; Tenant Farmer Certificate; Previous Subsidy Non-Availment Declaration,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.9
SUB056,Subsidy for Vermicompost Structure,Telangana Horticulture Mission,All Crops,Telangana,Organic & Natural Farming,27500,60,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Bank Passbook / Cancelled Cheque; FPO / SHG Registration Certificate; Caste Certificate; Crop Sowing Certificate; Voter ID / Address Proof; Passport Size Photograph; Income Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,9.7
SUB057,Subsidy for Fish Seed & Feed Support,Telangana Farm Pond Construction Subsidy,Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,130500,90,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Aadhaar Card; Soil Health Card; Tenant Farmer Certificate; Passport Size Photograph; Bank Passbook / Cancelled Cheque; Caste Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.7
