bank_id,bank_name,branch_name,district,state,ifsc,manager_name,phone,email,latitude,longitude,loan_available,insurance_available,government_linked,working_days
CNRB006,Canara Bank,Mahbubnagar Bus Stand Branch,Mahbubnagar,Telangana,CNRB0182614,Mahesh Verma,040-20915575,branch.mahbubnagar.bus.stand.branch@canarabank.com,16.747227,78.037224,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB007,Canara Bank,Rangareddy Main Branch,Rangareddy,Telangana,CNRB0878344,Venkatesh Goud,040-23015664,branch.rangareddy.main.branch@canarabank.com,17.313471,78.486556,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
CNRB008,Canara Bank,Rangareddy Main Branch (2),Rangareddy,Telangana,CNRB0977973,Satish Reddy,040-28438571,branch.rangareddy.main.branch.(2)@canarabank.com,17.327975,78.473063,Yes,No,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
CNRB009,Canara Bank,Medak Market Road Branch,Medak,Telangana,CNRB0501399,Rekha Prasad,040-21526626,branch.medak.market.road.branch@canarabank.com,18.057723,78.252132,Yes,Yes,No,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
CNRB010,Canara Bank,Khammam Rural Branch,Khammam,Telangana,CNRB0641084,Venkatesh Patel,040-22912159,branch.khammam.rural.branch@canarabank.com,17.21814,80.186874,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB011,Canara Bank,Karimnagar Circle Office Branch,Karimnagar,Telangana,CNRB0961627,Deepika Rathod,040-29113742,branch.karimnagar.circle.office.branch@canarabank.com,18.405384,79.130383,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
CNRB012,Canara Bank,Mulugu Bus Stand Branch,Mulugu,Telangana,CNRB0262665,Naveen Patel,040-29472243,branch.mulugu.bus.stand.branch@canarabank.com,18.186343,80.00724,Yes,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB013,Canara Bank,Wanaparthy Agri Business Branch,Wanaparthy,Telangana,CNRB0198834,Rekha Reddy,040-24913264,branch.wanaparthy.agri.business.branch@canarabank.com,16.404931,78.056576,Yes,No,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB014,Canara Bank,Suryapet Collectorate Road Branch,Suryapet,Telangana,CNRB0382247,Padma Goud,040-25780908,branch.suryapet.collectorate.road.branch@canarabank.com,17.147825,79.597833,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
CNRB015,Canara Bank,Yadadri Bhuvanagiri Main Branch,Yadadri Bhuvanagiri,Telangana,CNRB0372191,Kavitha Goud,040-21313989,branch.yadadri.bhuvanagiri.main.branch@canarabank.com,17.542639,79.130955,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB016,Canara Bank,Nagarkurnool Market Road Branch,Nagarkurnool,Telangana,CNRB0817676,Lakshmi Reddy,040-20487359,branch.nagarkurnool.market.road.branch@canarabank.com,16.523185,78.296496,Yes,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB017,Canara Bank,Suryapet Gandhi Chowk Branch,Suryapet,Telangana,CNRB0457019,Lakshmi Naik,040-26203635,branch.suryapet.gandhi.chowk.branch@canarabank.com,17.154601,79.611706,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB018,Canara Bank,Rajanna Sircilla Town Branch,Rajanna Sircilla,Telangana,CNRB0286545,Mahesh Naidu,040-21080851,branch.rajanna.sircilla.town.branch@canarabank.com,18.366208,78.797987,No,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB019,Canara Bank,Warangal Urban Extension Counter,Warangal Urban,Telangana,CNRB0254913,Venkatesh Yadav,040-27460894,branch.warangal.urban.extension.counter@canarabank.com,17.945998,79.574781,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
CNRB020,Canara Bank,Rajanna Sircilla Mandal Branch,Rajanna Sircilla,Telangana,CNRB0801706,Sunil Patel,040-27408156,branch.rajanna.sircilla.mandal.branch@canarabank.com,18.345695,78.76527,Yes,No,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
CNRB021,Canara Bank,Medchal-Malkajgiri Town Branch,Medchal-Malkajgiri,Telangana,CNRB0960638,Sujatha Verma,040-23496598,branch.medchal-malkajgiri.town.branch@canarabank.com,17.640197,78.478159,Yes,No,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
CNRB022,Canara Bank,Siddipet Collectorate Road Branch,Siddipet,Telangana,CNRB0020801,Suresh Prasad,040-21402814,branch.siddipet.collectorate.road.branch@canarabank.com,18.085649,78.861536,Yes,No,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB023,Canara Bank,Jayashankar Bhupalpally Bus Stand Branch,Jayashankar Bhupalpally,Telangana,CNRB0213571,Vani Reddy Gari,040-21793822,branch.jayashankar.bhupalpally.bus.stand.branch@canarabank.com,18.384159,79.917934,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB001,Punjab National Bank,Jagtial Extension Counter,Jagtial,Telangana,PUNB0507876,Venkatesh Rathod,040-28415619,branch.jagtial.extension.counter@pnb.co.in,18.780016,78.949842,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB002,Punjab National Bank,Rangareddy Agri Business Branch,Rangareddy,Telangana,PUNB0535186,Srinivas Patel,040-28430411,branch.rangareddy.agri.business.branch@pnb.co.in,17.315945,78.444902,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB003,Punjab National Bank,Mahabubabad Extension Counter,Mahabubabad,Telangana,PUNB0000351,Naveen Naik,040-26703332,branch.mahabubabad.extension.counter@pnb.co.in,17.603679,80.030236,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
PNB004,Punjab National Bank,Jagtial Bus Stand Branch,Jagtial,Telangana,PUNB0911592,Rekha Rao,040-24055025,branch.jagtial.bus.stand.branch@pnb.co.in,18.78669,78.869366,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB005,Punjab National Bank,Narayanpet Gandhi Chowk Branch,Narayanpet,Telangana,PUNB0199184,Lakshmi Prasad,040-21871657,branch.narayanpet.gandhi.chowk.branch@pnb.co.in,16.713323,77.499397,Yes,No,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
PNB006,Punjab National Bank,Nalgonda Gandhi Chowk Branch,Nalgonda,Telangana,PUNB0262258,Bhavani Chowdary,040-25862688,branch.nalgonda.gandhi.chowk.branch@pnb.co.in,17.040978,79.223282,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB007,Punjab National Bank,Jayashankar Bhupalpally Gandhi Chowk Branch,Jayashankar Bhupalpally,Telangana,PUNB0548533,Anjali Verma,040-27989392,branch.jayashankar.bhupalpally.gandhi.chowk.branch@pnb.co.in,18.467282,79.919097,No,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB008,Punjab National Bank,Jagtial Agri Business Branch,Jagtial,Telangana,PUNB0160242,Srinivas Verma,040-20768264,branch.jagtial.agri.business.branch@pnb.co.in,18.742954,78.921589,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB009,Punjab National Bank,Narayanpet Agri Business Branch,Narayanpet,Telangana,PUNB0726703,Vijay Naik,040-21686440,branch.narayanpet.agri.business.branch@pnb.co.in,16.779401,77.461199,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB010,Punjab National Bank,Wanaparthy Main Branch,Wanaparthy,Telangana,PUNB0184064,Satish Rao,040-27966594,branch.wanaparthy.main.branch@pnb.co.in,16.352964,78.076471,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB011,Punjab National Bank,Nalgonda Rural Branch,Nalgonda,Telangana,PUNB0271543,Padma Naidu,040-25901231,branch.nalgonda.rural.branch@pnb.co.in,17.066712,79.302274,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
PNB012,Punjab National Bank,Warangal Rural Bus Stand Branch,Warangal Rural,Telangana,PUNB0622439,Padma Prasad,040-24853793,branch.warangal.rural.bus.stand.branch@pnb.co.in,17.965173,79.439941,No,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB013,Punjab National Bank,Bhadradri Kothagudem Market Road Branch,Bhadradri Kothagudem,Telangana,PUNB0301104,Kiran Reddy Gari,040-20454179,branch.bhadradri.kothagudem.market.road.branch@pnb.co.in,17.571199,80.665959,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
PNB014,Punjab National Bank,Jayashankar Bhupalpally RTC Cross Roads Branch,Jayashankar Bhupalpally,Telangana,PUNB0455304,Pooja Verma,040-21551390,branch.jayashankar.bhupalpally.rtc.cross.roads.branch@pnb.co.in,18.434563,79.850834,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB015,Punjab National Bank,Jangaon RTC Cross Roads Branch,Jangaon,Telangana,PUNB0253409,Vijay Chowdary,040-20634923,branch.jangaon.rtc.cross.roads.branch@pnb.co.in,17.723312,79.137429,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB016,Punjab National Bank,Suryapet Gandhi Chowk Branch,Suryapet,Telangana,PUNB0972021,Swathi Patel,040-28985918,branch.suryapet.gandhi.chowk.branch@pnb.co.in,17.146252,79.581196,No,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
PNB017,Punjab National Bank,Bhadradri Kothagudem Mandal Branch,Bhadradri Kothagudem,Telangana,PUNB0520740,Satish Naik,040-20052399,branch.bhadradri.kothagudem.mandal.branch@pnb.co.in,17.549604,80.632123,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
PNB018,Punjab National Bank,Mahbubnagar Circle Office Branch,Mahbubnagar,Telangana,PUNB0479872,Sujatha Rathod,040-20349630,branch.mahbubnagar.circle.office.branch@pnb.co.in,16.714446,77.959659,Yes,No,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
PNB019,Punjab National Bank,Karimnagar Extension Counter,Karimnagar,Telangana,PUNB0412565,Deepika Kumar,040-28359424,branch.karimnagar.extension.counter@pnb.co.in,18.45112,79.147452,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB020,Punjab National Bank,Warangal Rural Agri Business Branch,Warangal Rural,Telangana,PUNB0604005,Anil Kumar,040-28997131,branch.warangal.rural.agri.business.branch@pnb.co.in,17.997538,79.411791,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
PNB021,Punjab National Bank,Jangaon Town Branch,Jangaon,Telangana,PUNB0408062,Kiran Verma,040-24366418,branch.jangaon.town.branch@pnb.co.in,17.693255,79.156206,No,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
PNB022,Punjab National Bank,Mancherial RTC Cross Roads Branch,Mancherial,Telangana,PUNB0243049,Anitha Reddy Gari,040-20298427,branch.mancherial.rtc.cross.roads.branch@pnb.co.in,18.898234,79.417432,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB001,Bank of Baroda,Jogulamba Gadwal Collectorate Road Branch,Jogulamba Gadwal,Telangana,BARB0416041,Naveen Patel,040-27105601,branch.jogulamba.gadwal.collectorate.road.branch@bankofbaroda.com,16.2052,77.767772,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB002,Bank of Baroda,Yadadri Bhuvanagiri Bus Stand Branch,Yadadri Bhuvanagiri,Telangana,BARB0833340,Prasad Goud,040-24101630,branch.yadadri.bhuvanagiri.bus.stand.branch@bankofbaroda.com,17.506349,79.134027,Yes,No,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB003,Bank of Baroda,Jogulamba Gadwal Town Branch,Jogulamba Gadwal,Telangana,BARB0661151,Bhavani Verma,040-23611683,branch.jogulamba.gadwal.town.branch@bankofbaroda.com,16.202455,77.828476,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB004,Bank of Baroda,Suryapet Gandhi Chowk Branch,Suryapet,Telangana,BARB0449479,Anjali Rathod,040-27290643,branch.suryapet.gandhi.chowk.branch@bankofbaroda.com,17.185709,79.633541,Yes,No,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB005,Bank of Baroda,Jangaon Market Road Branch,Jangaon,Telangana,BARB0506967,Krishna Yadav,040-23075067,branch.jangaon.market.road.branch@bankofbaroda.com,17.723621,79.168238,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB006,Bank of Baroda,Vikarabad Town Branch,Vikarabad,Telangana,BARB0507400,Suresh Reddy Gari,040-27625550,branch.vikarabad.town.branch@bankofbaroda.com,17.341375,77.915165,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
BOB007,Bank of Baroda,Suryapet Main Branch,Suryapet,Telangana,BARB0764520,Venkatesh Goud,040-22042341,branch.suryapet.main.branch@bankofbaroda.com,17.17897,79.599737,No,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB008,Bank of Baroda,Adilabad Bus Stand Branch,Adilabad,Telangana,BARB0140338,Kavitha Patel,040-24258814,branch.adilabad.bus.stand.branch@bankofbaroda.com,19.625398,78.540874,Yes,No,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB009,Bank of Baroda,Medak Bus Stand Branch,Medak,Telangana,BARB0985148,Anjali Naidu,040-23579635,branch.medak.bus.stand.branch@bankofbaroda.com,18.0756,78.221898,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
BOB010,Bank of Baroda,Kumuram Bheem Asifabad Agri Business Branch,Kumuram Bheem Asifabad,Telangana,BARB0255735,Sujatha Reddy,040-27580983,branch.kumuram.bheem.asifabad.agri.business.branch@bankofbaroda.com,19.346845,79.273775,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB011,Bank of Baroda,Kumuram Bheem Asifabad RTC Cross Roads Branch,Kumuram Bheem Asifabad,Telangana,BARB0809114,Anil Rathod,040-26187335,branch.kumuram.bheem.asifabad.rtc.cross.roads.branch@bankofbaroda.com,19.391442,79.277093,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB012,Bank of Baroda,Bhadradri Kothagudem Mandal Branch,Bhadradri Kothagudem,Telangana,BARB0015273,Bhavani Reddy,040-24278020,branch.bhadradri.kothagudem.mandal.branch@bankofbaroda.com,17.583223,80.61581,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB013,Bank of Baroda,Mancherial Agri Business Branch,Mancherial,Telangana,BARB0723516,Rekha Naik,040-20059271,branch.mancherial.agri.business.branch@bankofbaroda.com,18.916402,79.485573,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB014,Bank of Baroda,Peddapalli RTC Cross Roads Branch,Peddapalli,Telangana,BARB0409061,Anitha Prasad,040-23871844,branch.peddapalli.rtc.cross.roads.branch@bankofbaroda.com,18.661055,79.415973,Yes,No,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
BOB015,Bank of Baroda,Jagtial Town Branch,Jagtial,Telangana,BARB0713925,Venkatesh Rao,040-25772441,branch.jagtial.town.branch@bankofbaroda.com,18.74968,78.90918,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB016,Bank of Baroda,Peddapalli RTC Cross Roads Branch (2),Peddapalli,Telangana,BARB0842007,Sandhya Verma,040-22816615,branch.peddapalli.rtc.cross.roads.branch.(2)@bankofbaroda.com,18.570471,79.337471,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB017,Bank of Baroda,Medak Market Road Branch,Medak,Telangana,BARB0177701,Sunil Naik,040-29718015,branch.medak.market.road.branch@bankofbaroda.com,18.036604,78.267763,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB018,Bank of Baroda,Warangal Urban Mandal Branch,Warangal Urban,Telangana,BARB0152008,Suresh Goud,040-24825268,branch.warangal.urban.mandal.branch@bankofbaroda.com,17.922194,79.642806,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
BOB019,Bank of Baroda,Mulugu Town Branch,Mulugu,Telangana,BARB0864937,Anjali Rao,040-29392176,branch.mulugu.town.branch@bankofbaroda.com,18.15304,79.976433,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB020,Bank of Baroda,Jogulamba Gadwal Extension Counter,Jogulamba Gadwal,Telangana,BARB0878849,Deepika Patel,040-23903782,branch.jogulamba.gadwal.extension.counter@bankofbaroda.com,16.232962,77.791984,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
BOB021,Bank of Baroda,Medak Bus Stand Branch (2),Medak,Telangana,BARB0467996,Kavitha Patel,040-24720822,branch.medak.bus.stand.branch.(2)@bankofbaroda.com,18.040533,78.304385,Yes,No,No,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
BOB022,Bank of Baroda,Kumuram Bheem Asifabad Circle Office Branch,Kumuram Bheem Asifabad,Telangana,BARB0737632,Kiran Reddy,040-22931616,branch.kumuram.bheem.asifabad.circle.office.branch@bankofbaroda.com,19.39009,79.257623,Yes,Yes,No,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
