loan_id,bank_name,loan_name,loan_type,interest_rate,minimum_interest,maximum_interest,loan_amount_min,loan_amount_max,repayment_years,processing_fee,collateral_required,crop_specific,equipment_supported,livestock_supported,working_capital,maximum_subsidy,government_linked,approval_days,required_documents,eligibility_summary,loan_score
LOAN024,Canara Bank,Canara Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,8.25% - 11.05% p.a.,8.25,11.05,765000,6250000,10,1.50% of loan amount,Yes,No,Yes,No,No,10000,Yes,20,Income Proof; KCC Application Form; Collateral / Security Documents; Quotation of Equipment / Machinery; Aadhaar Card,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",6.9
LOAN025,Union Bank of India,Union Bank of India Kisan Credit Card,Kisan Credit Card (KCC),4.06% - 7.13% p.a.,4.06,7.13,15000,150000,2,Nil,No,No,No,No,Yes,10000,Yes,7,Aadhaar Card; Land Ownership / Pattadar Passbook; Passport Size Photographs; Existing Loan Statement (if any); Crop Sowing Certificate; Quotation of Equipment / Machinery; Bank Statement (6 months),"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.8
LOAN026,Union Bank of India,Union Bank of India Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.51% - 9.62% p.a.,6.51,9.62,45000,225000,2,Nil,No,Sugarcane,No,No,Yes,50000,Yes,3,Aadhaar Card; Quotation of Equipment / Machinery; PAN Card; Passport Size Photographs; Existing Loan Statement (if any); Bank Statement (6 months); Voter ID / Address Proof,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,9.2
LOAN027,Union Bank of India,Union Bank of India Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.98% - 11.5% p.a.,7.98,11.5,275000,1125000,5,"Flat INR 2,500",Yes,No,Yes,No,No,0,No,15,KCC Application Form; Existing Loan Statement (if any); Bank Statement (6 months); PAN Card; Land Ownership / Pattadar Passbook,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,5.7
LOAN028,Union Bank of India,Union Bank of India Dairy Development Loan,Dairy & Livestock Development Loan,6.85% - 10.48% p.a.,6.85,10.48,70000,900000,4,1.50% of loan amount,No,No,No,Yes,Yes,50000,Yes,15,Passport Size Photographs; Income Proof; Aadhaar Card; Voter ID / Address Proof; Quotation of Equipment / Machinery; KCC Application Form,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,8.7
LOAN029,Union Bank of India,Union Bank of India Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.53% - 9.89% p.a.,7.53,9.89,65000,475000,6,0.50% of loan amount,No,No,Yes,No,No,100000,Yes,10,KCC Application Form; Crop Sowing Certificate; Voter ID / Address Proof; Passport Size Photographs; Bank Statement (6 months); Quotation of Equipment / Machinery; Land Ownership / Pattadar Passbook; PAN Card,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.6
LOAN030,Union Bank of India,Union Bank of India Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.32% - 11.49% p.a.,8.32,11.49,55000,1200000,1,0.50% of loan amount,Yes,Groundnut,No,No,Yes,0,No,25,Aadhaar Card; PAN Card; Quotation of Equipment / Machinery; Crop Sowing Certificate; KCC Application Form; Passport Size Photographs,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.5
LOAN031,Union Bank of India,Union Bank of India Horticulture Development Loan,Horticulture & Plantation Loan,7.4% - 10.59% p.a.,7.4,10.59,75000,1425000,12,0.50% of loan amount,Yes,Groundnut,No,No,No,25000,Yes,20,Bank Statement (6 months); Aadhaar Card; Passport Size Photographs; Voter ID / Address Proof; Income Proof; Land Ownership / Pattadar Passbook; Existing Loan Statement (if any),Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,7.1
LOAN032,Union Bank of India,Union Bank of India FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,8.99% - 12.13% p.a.,8.99,12.13,260000,2775000,3,0.50% of loan amount,Yes,No,Yes,No,Yes,25000,Yes,10,Crop Sowing Certificate; No Dues Certificate from other Banks; Aadhaar Card; Voter ID / Address Proof; Quotation of Equipment / Machinery; Passport Size Photographs,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,8.2
LOAN033,Union Bank of India,Union Bank of India Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.29% - 9.97% p.a.,6.29,9.97,70000,1025000,8,"Flat INR 2,500",No,No,Yes,No,No,50000,Yes,7,Land Ownership / Pattadar Passbook; Passport Size Photographs; No Dues Certificate from other Banks; Voter ID / Address Proof; Aadhaar Card; Crop Sowing Certificate; Income Proof; Collateral / Security Documents,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.1
LOAN034,Union Bank of India,Union Bank of India Agri Gold Loan,Gold Loan for Agricultural Purposes,7.01% - 10.13% p.a.,7.01,10.13,10000,2925000,3,Nil (Govt. Linked Scheme),Yes,No,No,No,Yes,0,No,15,Aadhaar Card; Voter ID / Address Proof; Land Ownership / Pattadar Passbook; Income Proof; PAN Card,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",9.1
LOAN035,Union Bank of India,Union Bank of India Fisheries Development Loan,Fisheries & Aquaculture Loan,7.53% - 10.72% p.a.,7.53,10.72,150000,1075000,6,1.50% of loan amount,No,No,No,Yes,Yes,10000,Yes,10,Existing Loan Statement (if any); KCC Application Form; Voter ID / Address Proof; PAN Card; Quotation of Equipment / Machinery,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,8.7
LOAN036,Union Bank of India,Union Bank of India Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,7.99% - 11.36% p.a.,7.99,11.36,665000,6500000,8,1.00% of loan amount,Yes,No,Yes,No,No,100000,Yes,25,Crop Sowing Certificate; PAN Card; Collateral / Security Documents; Passport Size Photographs; Aadhaar Card; Bank Statement (6 months); KCC Application Form; No Dues Certificate from other Banks,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",6.9
LOAN037,Bank of Baroda,Bank of Baroda Kisan Credit Card,Kisan Credit Card (KCC),4.08% - 7.27% p.a.,4.08,7.27,20000,150000,4,Nil,No,No,No,No,Yes,50000,Yes,7,Existing Loan Statement (if any); Bank Statement (6 months); Quotation of Equipment / Machinery; Collateral / Security Documents; Passport Size Photographs,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",7.7
LOAN038,Bank of Baroda,Bank of Baroda Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.48% - 9.6% p.a.,6.48,9.6,25000,400000,1,0.25% of loan amount,No,Cotton,No,No,Yes,50000,Yes,3,Collateral / Security Documents; PAN Card; KCC Application Form; Voter ID / Address Proof; Passport Size Photographs; Crop Sowing Certificate; Existing Loan Statement (if any),"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",5.8
LOAN039,Bank of Baroda,Bank of Baroda Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.8% - 11.81% p.a.,7.8,11.81,180000,1075000,4,"Flat INR 2,500",Yes,No,Yes,No,No,0,No,30,PAN Card; Existing Loan Statement (if any); Income Proof; Bank Statement (6 months); Collateral / Security Documents; KCC Application Form; No Dues Certificate from other Banks,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,6.2
LOAN040,Bank of Baroda,Bank of Baroda Dairy Development Loan,Dairy & Livestock Development Loan,7.22% - 10.76% p.a.,7.22,10.76,85000,725000,4,"Flat INR 1,000",No,No,No,Yes,Yes,25000,Yes,10,PAN Card; Income Proof; Aadhaar Card; Existing Loan Statement (if any); No Dues Certificate from other Banks; Crop Sowing Certificate; Quotation of Equipment / Machinery,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",8.6
LOAN041,Bank of Baroda,Bank of Baroda Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.7% - 9.97% p.a.,7.7,9.97,55000,350000,6,"Flat INR 1,000",No,No,Yes,No,No,150000,Yes,15,Income Proof; Crop Sowing Certificate; Passport Size Photographs; Aadhaar Card; Quotation of Equipment / Machinery,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.7
LOAN042,Bank of Baroda,Bank of Baroda Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.58% - 11.23% p.a.,8.58,11.23,70000,1375000,2,"Flat INR 1,000",Yes,Pulses,No,No,Yes,0,No,20,Voter ID / Address Proof; Income Proof; Crop Sowing Certificate; Aadhaar Card; Quotation of Equipment / Machinery; Bank Statement (6 months),"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",5.8
LOAN043,Bank of Baroda,Bank of Baroda Horticulture Development Loan,Horticulture & Plantation Loan,7.72% - 10.56% p.a.,7.72,10.56,145000,2200000,7,Nil (Govt. Linked Scheme),Yes,Groundnut,No,No,No,50000,Yes,10,Land Ownership / Pattadar Passbook; Collateral / Security Documents; Crop Sowing Certificate; Income Proof; Passport Size Photographs; KCC Application Form,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,8.7
LOAN044,Bank of Baroda,Bank of Baroda FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,9.24% - 11.95% p.a.,9.24,11.95,405000,2750000,7,"Flat INR 1,000",Yes,No,Yes,No,Yes,75000,Yes,25,Land Ownership / Pattadar Passbook; Quotation of Equipment / Machinery; Voter ID / Address Proof; PAN Card; Bank Statement (6 months),Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.4
LOAN045,Bank of Baroda,Bank of Baroda Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.5% - 9.42% p.a.,6.5,9.42,100000,1100000,6,"Flat INR 1,000",No,No,Yes,No,No,15000,Yes,15,Bank Statement (6 months); PAN Card; Land Ownership / Pattadar Passbook; Income Proof; KCC Application Form; Existing Loan Statement (if any),Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,6.5
LOAN046,Bank of Baroda,Bank of Baroda Agri Gold Loan,Gold Loan for Agricultural Purposes,6.88% - 10.18% p.a.,6.88,10.18,10000,2650000,2,"Flat INR 1,000",Yes,No,No,No,Yes,0,No,30,Crop Sowing Certificate; Passport Size Photographs; Income Proof; Aadhaar Card; Collateral / Security Documents; Existing Loan Statement (if any),Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.7
LOAN047,Bank of Baroda,Bank of Baroda Fisheries Development Loan,Fisheries & Aquaculture Loan,7.31% - 10.63% p.a.,7.31,10.63,150000,1025000,3,1.50% of loan amount,No,No,No,Yes,Yes,15000,Yes,10,Quotation of Equipment / Machinery; Collateral / Security Documents; Crop Sowing Certificate; Passport Size Photographs; Aadhaar Card; Land Ownership / Pattadar Passbook; KCC Application Form; Bank Statement (6 months),"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.8
LOAN048,Bank of Baroda,Bank of Baroda Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,8.15% - 11.48% p.a.,8.15,11.48,810000,5000000,6,"Flat INR 1,000",Yes,No,Yes,No,No,150000,Yes,30,Collateral / Security Documents; Bank Statement (6 months); PAN Card; Existing Loan Statement (if any); Land Ownership / Pattadar Passbook; KCC Application Form; Passport Size Photographs; Income Proof,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,9.5
LOAN049,Punjab National Bank (PNB),Punjab National Bank Kisan Credit Card,Kisan Credit Card (KCC),4.11% - 7.24% p.a.,4.11,7.24,45000,150000,5,Nil,No,No,No,No,Yes,10000,Yes,5,No Dues Certificate from other Banks; Aadhaar Card; Quotation of Equipment / Machinery; Passport Size Photographs; Land Ownership / Pattadar Passbook; Voter ID / Address Proof,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.2
LOAN050,Punjab National Bank (PNB),Punjab National Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.6% - 9.33% p.a.,6.6,9.33,25000,300000,3,0.50% of loan amount,No,Maize,No,No,Yes,50000,Yes,7,Voter ID / Address Proof; No Dues Certificate from other Banks; Aadhaar Card; Quotation of Equipment / Machinery; KCC Application Form; Passport Size Photographs,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",6.7
LOAN051,Punjab National Bank (PNB),Punjab National Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.91% - 11.88% p.a.,7.91,11.88,175000,1175000,7,1.00% of loan amount,Yes,No,Yes,No,No,0,No,30,Aadhaar Card; Crop Sowing Certificate; Quotation of Equipment / Machinery; Passport Size Photographs; Voter ID / Address Proof; KCC Application Form,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.6
LOAN052,Punjab National Bank (PNB),Punjab National Bank Dairy Development Loan,Dairy & Livestock Development Loan,7.09% - 10.57% p.a.,7.09,10.57,65000,675000,6,1.50% of loan amount,No,No,No,Yes,Yes,15000,Yes,10,Existing Loan Statement (if any); Income Proof; Crop Sowing Certificate; Voter ID / Address Proof; Quotation of Equipment / Machinery,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",5.5
LOAN053,Punjab National Bank (PNB),Punjab National Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.4% - 10.38% p.a.,7.4,10.38,35000,450000,6,1.00% of loan amount,No,No,Yes,No,No,25000,Yes,5,Collateral / Security Documents; Bank Statement (6 months); Passport Size Photographs; Quotation of Equipment / Machinery; PAN Card; Voter ID / Address Proof,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.3
LOAN054,Punjab National Bank (PNB),Punjab National Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.36% - 11.06% p.a.,8.36,11.06,55000,1950000,1,"Flat INR 1,000",Yes,Paddy,No,No,Yes,0,No,15,No Dues Certificate from other Banks; Land Ownership / Pattadar Passbook; Crop Sowing Certificate; Aadhaar Card; Voter ID / Address Proof,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.2
LOAN055,Punjab National Bank (PNB),Punjab National Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.7% - 10.91% p.a.,7.7,10.91,65000,1125000,7,1.50% of loan amount,Yes,Maize,No,No,No,15000,Yes,30,Aadhaar Card; Passport Size Photographs; Quotation of Equipment / Machinery; Crop Sowing Certificate; Income Proof; KCC Application Form; Bank Statement (6 months); PAN Card,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.5
LOAN056,Punjab National Bank (PNB),Punjab National Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,8.89% - 12.01% p.a.,8.89,12.01,480000,2375000,6,"Flat INR 1,000",Yes,No,Yes,No,Yes,25000,Yes,20,PAN Card; Aadhaar Card; Collateral / Security Documents; Bank Statement (6 months); Income Proof; Quotation of Equipment / Machinery; Voter ID / Address Proof; Land Ownership / Pattadar Passbook,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,8.7
LOAN057,Punjab National Bank (PNB),Punjab National Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.49% - 9.72% p.a.,6.49,9.72,85000,1125000,8,"Flat INR 1,000",No,No,Yes,No,No,10000,Yes,10,Collateral / Security Documents; PAN Card; Aadhaar Card; Passport Size Photographs; Bank Statement (6 months),"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",5.8
LOAN058,Punjab National Bank (PNB),Punjab National Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,7.05% - 10.02% p.a.,7.05,10.02,35000,2975000,1,1.50% of loan amount,Yes,No,No,No,Yes,0,No,20,Passport Size Photographs; Aadhaar Card; No Dues Certificate from other Banks; PAN Card; Existing Loan Statement (if any); Bank Statement (6 months); KCC Application Form,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",8.6
LOAN059,Punjab National Bank (PNB),Punjab National Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.48% - 10.83% p.a.,7.48,10.83,90000,1375000,6,1.00% of loan amount,No,No,No,Yes,Yes,50000,Yes,5,Voter ID / Address Proof; Existing Loan Statement (if any); Passport Size Photographs; Land Ownership / Pattadar Passbook; Bank Statement (6 months),Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,9.2
LOAN060,Punjab National Bank (PNB),Punjab National Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,7.98% - 11.34% p.a.,7.98,11.34,880000,5500000,13,1.00% of loan amount,Yes,No,Yes,No,No,50000,Yes,15,Crop Sowing Certificate; PAN Card; Quotation of Equipment / Machinery; Aadhaar Card; Collateral / Security Documents; Income Proof,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",9.7
