rule_id,condition_json,recommended_scheme,recommended_loan,recommended_insurance,priority,confidence,reason
11,"{""state"": ""Telangana"", ""crop"": ""Wheat"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.93,"Farmer in Telangana cultivating Wheat with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
12,"{""state"": ""Telangana"", ""crop"": ""Wheat"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.75,"Farmer in Telangana cultivating Wheat with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
13,"{""state"": ""Telangana"", ""crop"": ""Wheat"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.84,"Farmer in Telangana cultivating Wheat with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Wheat is a priority crop under PMFBY in Telangana, warranting crop insurance coverage."
14,"{""state"": ""Telangana"", ""crop"": ""Wheat"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.8,"Farmer in Telangana cultivating Wheat with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Wheat is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
15,"{""state"": ""Telangana"", ""crop"": ""Wheat"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.9,"Farmer in Telangana cultivating Wheat with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
16,"{""state"": ""Telangana"", ""crop"": ""Sugarcane"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.84,"Farmer in Telangana cultivating Sugarcane with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Sugarcane cultivation."
17,"{""state"": ""Telangana"", ""crop"": ""Sugarcane"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.87,"Farmer in Telangana cultivating Sugarcane with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Sugarcane cultivation."
18,"{""state"": ""Telangana"", ""crop"": ""Sugarcane"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.9,"Farmer in Telangana cultivating Sugarcane with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Sugarcane is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Sugarcane cultivation."
19,"{""state"": ""Telangana"", ""crop"": ""Sugarcane"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.91,"Farmer in Telangana cultivating Sugarcane with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Sugarcane is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Sugarcane cultivation."
20,"{""state"": ""Telangana"", ""crop"": ""Sugarcane"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.81,"Farmer in Telangana cultivating Sugarcane with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Sugarcane cultivation."
21,"{""state"": ""Telangana"", ""crop"": ""Soybean"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.95,"Farmer in Telangana cultivating Soybean with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Soybean is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
22,"{""state"": ""Telangana"", ""crop"": ""Soybean"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.82,"Farmer in Telangana cultivating Soybean with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Soybean is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
23,"{""state"": ""Telangana"", ""crop"": ""Soybean"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.79,"Farmer in Telangana cultivating Soybean with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Soybean is a priority crop under PMFBY in Telangana, warranting crop insurance coverage."
24,"{""state"": ""Telangana"", ""crop"": ""Soybean"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.88,"Farmer in Telangana cultivating Soybean with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Soybean is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
25,"{""state"": ""Telangana"", ""crop"": ""Soybean"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.81,"Farmer in Telangana cultivating Soybean with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Soybean is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
26,"{""state"": ""Telangana"", ""crop"": ""Maize"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.95,"Farmer in Telangana cultivating Maize with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Maize is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
27,"{""state"": ""Telangana"", ""crop"": ""Maize"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.87,"Farmer in Telangana cultivating Maize with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Maize is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
28,"{""state"": ""Telangana"", ""crop"": ""Maize"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.77,"Farmer in Telangana cultivating Maize with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Maize is a priority crop under PMFBY in Telangana, warranting crop insurance coverage."
29,"{""state"": ""Telangana"", ""crop"": ""Maize"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.87,"Farmer in Telangana cultivating Maize with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Maize is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
30,"{""state"": ""Telangana"", ""crop"": ""Maize"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.9,"Farmer in Telangana cultivating Maize with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Maize is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
31,"{""state"": ""Telangana"", ""crop"": ""Groundnut"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.93,"Farmer in Telangana cultivating Groundnut with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Groundnut is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
32,"{""state"": ""Telangana"", ""crop"": ""Groundnut"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.93,"Farmer in Telangana cultivating Groundnut with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Groundnut is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
33,"{""state"": ""Telangana"", ""crop"": ""Groundnut"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.8,"Farmer in Telangana cultivating Groundnut with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Groundnut is a priority crop under PMFBY in Telangana, warranting crop insurance coverage."
34,"{""state"": ""Telangana"", ""crop"": ""Groundnut"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.93,"Farmer in Telangana cultivating Groundnut with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Groundnut is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
35,"{""state"": ""Telangana"", ""crop"": ""Groundnut"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.95,"Farmer in Telangana cultivating Groundnut with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Groundnut is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
